time_s,DP_module_m2_s2
20.5556,27.980625239
20.5615,27.980874695
20.5674,27.980630928
20.5733,27.980912454
20.5792,27.980518647
20.5851,27.980816825
20.591,27.980562181
20.5969,27.98071804
20.6028,27.980353374
20.6087,27.980600469
20.6147,27.98031001
20.6206,27.980571727
20.6265,27.980209557
20.6324,27.980475038
20.6383,27.980286168
20.6442,27.980574847
20.6501,27.980288759
20.656,27.98060195
20.6619,27.98041439
20.6678,27.98066469
20.6738,27.980385718
20.6797,27.980752956
20.6856,27.980508556
20.6915,27.980842355
20.6974,27.980550139
20.7033,27.980843022
20.7092,27.980627641
20.7151,27.980939506
20.721,27.980590657
20.727,27.980883981
20.7329,27.980635305
20.7388,27.980881957
20.7447,27.980571992
20.7506,27.980894095
20.7565,27.980580273
20.7624,27.980838612
20.7683,27.980622008
20.7742,27.980823786
20.7801,27.980658287
20.7861,27.980873091
20.792,27.980519091
20.7979,27.980811054
20.8038,27.980580345
20.8097,27.980818516
20.8156,27.980537634
20.8215,27.980840994
20.8274,27.98054729
20.8333,27.98078803
20.8392,27.980578628
20.8452,27.980803782
20.8511,27.980538662
20.857,27.98073326
20.8629,27.980356991
20.8688,27.980630465
20.8747,27.980378663
20.8806,27.980594139
20.8865,27.980327665
20.8924,27.980641487
20.8983,27.980319998
20.9043,27.980588542
20.9102,27.98036997
20.9161,27.980639978
20.922,27.980402176
20.9279,27.980703681
20.9338,27.980399786
20.9397,27.980738366
20.9456,27.980540922
20.9515,27.980826626
20.9574,27.980501425
20.9634,27.980871208
20.9693,27.98061453
20.9752,27.980895135
20.9811,27.980616395
20.987,27.980860494
20.9929,27.980600642
20.9988,27.980899574
21.0047,27.980494898
21.0106,27.98082121
21.0165,27.980589943
21.0225,27.980843831
21.0284,27.980566094
21.0343,27.980911089
21.0402,27.980636031
21.0461,27.980930803
21.052,27.980609557
21.0579,27.98082979
21.0638,27.980568335
21.0697,27.980849065
21.0757,27.980532034
21.0816,27.98083654
21.0875,27.980617008
21.0934,27.980855386
21.0993,27.980534941
21.1052,27.980813517
21.1111,27.980503092
21.117,27.980684021
21.1229,27.980405536
21.1288,27.98058
21.1348,27.980363234
21.1407,27.980569757
21.1466,27.980250071
21.1525,27.980593256
21.1584,27.980341679
21.1643,27.980535969
21.1702,27.980303553
21.1761,27.980609401
21.182,27.980357123
21.1879,27.980629729
21.1939,27.980449079
21.1998,27.980752434
21.2057,27.980531515
21.2116,27.980841374
21.2175,27.980516065
21.2234,27.98085923
21.2293,27.980637259
21.2352,27.980817971
21.2411,27.980572546
21.247,27.980862908
21.253,27.980565755
21.2589,27.980801653
21.2648,27.980533148
21.2707,27.980761929
21.2766,27.980572648
21.2825,27.980818588
21.2884,27.980583498
21.2943,27.98083676
21.3002,27.980648668
21.3061,27.98082272
21.3121,27.980593637
21.318,27.980832063
21.3239,27.980623054
21.3298,27.980858192
21.3357,27.980619692
21.3416,27.980815788
21.3475,27.980634957
21.3534,27.980849907
21.3593,27.980550684
21.3652,27.980792947
21.3712,27.980532126
21.3771,27.980661089
21.383,27.980366516
21.3889,27.980613863
21.3948,27.980310418
21.4007,27.980447187
21.4066,27.980243199
21.4125,27.980455947
21.4184,27.980256982
21.4243,27.980570212
21.4303,27.980283432
21.4362,27.980585668
21.4421,27.980414449
21.448,27.980632617
21.4539,27.980424334
21.4598,27.980762997
21.4657,27.980458307
21.4716,27.980776283
21.4775,27.980512905
21.4835,27.980793664
21.4894,27.980569474
21.4953,27.980816529
21.5012,27.980544835
21.5071,27.980785196
21.513,27.980618015
21.5189,27.980745215
21.5248,27.980507397
21.5307,27.980887266
21.5366,27.980605915
21.5426,27.980854499
21.5485,27.980673688
21.5544,27.980913634
21.5603,27.980697251
21.5662,27.981005078
21.5721,27.980653217
21.578,27.980854693
21.5839,27.980717934
21.5898,27.980878233
21.5957,27.98065104
21.6017,27.98093172
21.6076,27.980645595
21.6135,27.980794606
21.6194,27.980495365
21.6253,27.980641095
21.6312,27.980403841
21.6371,27.980592114
21.643,27.980284839
21.6489,27.980519783
21.6548,27.980286334
21.6608,27.98044602
21.6667,27.980217373
21.6726,27.980488734
21.6785,27.980284293
21.6844,27.980535512
21.6903,27.980331801
21.6962,27.980535634
21.7021,27.980382871
21.708,27.980706675
21.7139,27.980440942
21.7199,27.980713241
21.7258,27.980608357
21.7317,27.980777033
21.7376,27.980584156
21.7435,27.980903583
21.7494,27.98066198
21.7553,27.98091309
21.7612,27.980726897
21.7671,27.980882644
21.773,27.980676037
21.779,27.980926234
21.7849,27.980588116
21.7908,27.980856669
21.7967,27.980689468
21.8026,27.980831757
21.8085,27.980552409
21.8144,27.980804102
21.8203,27.980518006
21.8262,27.980769923
21.8322,27.98051759
21.8381,27.980755514
21.844,27.98053242
21.8499,27.980832448
21.8558,27.980449672
21.8617,27.980735546
21.8676,27.980542541
21.8735,27.980651393
21.8794,27.980407132
21.8853,27.980628737
21.8913,27.980336947
21.8972,27.980488738
21.9031,27.980252954
21.909,27.980400998
21.9149,27.98024599
21.9208,27.980560879
21.9267,27.980230674
21.9326,27.980594407
21.9385,27.980485081
21.9444,27.980667396
21.9504,27.980433473
21.9563,27.980751824
21.9622,27.980472295
21.9681,27.980777955
21.974,27.980538369
21.9799,27.980706312
21.9858,27.980510914
21.9917,27.980824162
21.9976,27.980538852
22.0035,27.98078787
22.0095,27.980632485
22.0154,27.980762785
22.0213,27.980526999
22.0272,27.980780944
22.0331,27.980472786
22.039,27.98080356
22.0449,27.980542133
22.0508,27.980787641
22.0567,27.980560076
22.0626,27.980874614
22.0686,27.980520955
22.0745,27.980797932
22.0804,27.980599306
22.0863,27.98076973
22.0922,27.980543198
22.0981,27.98083029
22.104,27.980598145
22.1099,27.980832783
22.1158,27.980653777
22.1217,27.980811473
22.1277,27.980649166
22.1336,27.980872251
22.1395,27.980448046
22.1454,27.980723096
22.1513,27.980476082
22.1572,27.98056272
22.1631,27.980224872
22.169,27.980515604
22.1749,27.980219197
22.1809,27.980519381
22.1868,27.980237285
22.1927,27.980481914
22.1986,27.980310517
22.2045,27.980587246
22.2104,27.980256874
22.2163,27.980601932
22.2222,27.980429526
22.2281,27.980648216
22.234,27.980383474
22.24,27.980734925
22.2459,27.980446812
22.2518,27.980790056
22.2577,27.980530555
22.2636,27.980801286
22.2695,27.980595044
22.2754,27.980929856
22.2813,27.980510621
22.2872,27.980886021
22.2931,27.980708586
22.2991,27.980904407
22.305,27.980667046
22.3109,27.980972485
22.3168,27.980689194
22.3227,27.980947867
22.3286,27.980715172
22.3345,27.980879359
22.3404,27.980632874
22.3463,27.980830908
22.3522,27.98044141
22.3582,27.980755062
22.3641,27.980602432
22.37,27.980770829
22.3759,27.980467678
22.3818,27.980780503
22.3877,27.980448459
22.3936,27.980676974
22.3995,27.980369747
22.4054,27.980551622
22.4113,27.980376422
22.4173,27.980557717
22.4232,27.980248211
22.4291,27.980465747
22.435,27.980298869
22.4409,27.980420088
22.4468,27.980269296
22.4527,27.980583892
22.4586,27.980274978
22.4645,27.980584773
22.4704,27.980334359
22.4764,27.98060834
22.4823,27.980466753
22.4882,27.980737726
22.4941,27.980454139
22.5,27.980781164
22.5059,27.980564896
22.5118,27.98075129
22.5177,27.980552491
22.5236,27.980763066
22.5296,27.980511623
22.5355,27.980786057
22.5414,27.980494678
22.5473,27.98064793
22.5532,27.980544079
22.5591,27.980744793
22.565,27.980456977
22.5709,27.98077958
22.5768,27.980581314
22.5827,27.980798837
22.5887,27.980578016
22.5946,27.980830629
22.6005,27.980545248
22.6064,27.980882976
22.6123,27.980576083
22.6182,27.980729542
22.6241,27.980588981
22.63,27.980788893
22.6359,27.980473604
22.6418,27.980739264
22.6478,27.980622768
22.6537,27.980799696
22.6596,27.980608879
22.6655,27.980808074
22.6714,27.980479391
22.6773,27.980759131
22.6832,27.980419275
