# F28 centrebody profile -- THE REGISTERED ARTIFACT of section 4.
# Actuator-disk representation; no rotor.
# nose: C1 smoothstep TANGENT TO THE AXIS at the apex (x=-0.03);
# tail: STRAIGHT CONE terminating AT the exit plane (section 7.1).
x_m,r_m
0.014505,0.0219041851922
0.01462,0.0219839925105
0.014735,0.0220637461281
0.01485,0.0221434447083
0.014965,0.0222230869142
0.01508,0.0223026714094
0.015195,0.022382196857
0.01531,0.0224616619203
0.015425,0.0225410652626
0.01554,0.0226204055473
0.015655,0.0226996814375
0.01577,0.0227788915967
0.015885,0.0228580346881
0.016,0.022937109375
0.016115,0.0230161143207
0.01623,0.0230950481884
0.016345,0.0231739096416
0.01646,0.0232526973434
0.016575,0.0233314099571
0.01669,0.0234100461461
0.016805,0.0234886045737
0.01692,0.0235670839031
0.017035,0.0236454827977
0.01715,0.0237237999207
0.017265,0.0238020339354
0.01738,0.0238801835051
0.017495,0.0239582472931
0.01761,0.0240362239627
0.017725,0.0241141121773
0.01784,0.0241919106
0.017955,0.0242696178942
0.01807,0.0243472327232
0.018185,0.0244247537503
0.0183,0.0245021796387
0.018415,0.0245795090518
0.01853,0.0246567406528
0.018645,0.0247338731051
0.01876,0.0248109050719
0.018875,0.0248878352165
0.01899,0.0249646622023
0.019105,0.0250413846925
0.01922,0.0251180013504
0.019335,0.0251945108393
0.01945,0.0252709118225
0.019565,0.0253472029633
0.01968,0.025423382925
0.019795,0.0254994503709
0.01991,0.0255754039642
0.020025,0.0256512423683
0.02014,0.0257269642465
0.020255,0.025802568262
0.02037,0.0258780530782
0.020485,0.0259534173583
0.0206,0.0260286597656
0.020715,0.0261037789635
0.02083,0.0261787736152
0.020945,0.026253642384
0.02106,0.0263283839332
0.021175,0.0264029969261
0.02129,0.026477480026
0.021405,0.0265518318962
0.02152,0.0266260512
0.021635,0.0267001366007
0.02175,0.0267740867615
0.021865,0.0268479003458
0.02198,0.0269215760168
0.022095,0.0269951124379
0.02221,0.0270685082723
0.022325,0.0271417621834
0.02244,0.0272148728344
0.022555,0.0272878388886
0.02267,0.0273606590093
0.022785,0.0274333318599
0.0229,0.0275058561035
0.023015,0.0275782304036
0.02313,0.0276504534233
0.023245,0.027722523826
0.02336,0.027794440275
0.023475,0.0278662014336
0.02359,0.027937805965
0.023705,0.0280092525326
0.02382,0.0280805397996
0.023935,0.0281516664294
0.02405,0.0282226310852
0.024165,0.0282934324304
0.02428,0.0283640691281
0.024395,0.0284345398418
0.02451,0.0285048432347
0.024625,0.0285749779701
0.02474,0.0286449427113
0.024855,0.0287147361216
0.02497,0.0287843568643
0.025085,0.0288538036027
0.0252,0.028923075
0.025315,0.0289921697196
0.02543,0.0290610864248
0.025545,0.0291298237788
0.02566,0.0291983804449
0.025775,0.0292667550865
0.02589,0.0293349463668
0.026005,0.0294029529492
0.02612,0.0294707734969
0.026235,0.0295384066732
0.02635,0.0296058511414
0.026465,0.0296731055648
0.02658,0.0297401686066
0.026695,0.0298070389303
0.02681,0.0298737151991
0.026925,0.0299401960762
0.02704,0.030006480225
0.027155,0.0300725663088
0.02727,0.0301384529908
0.027385,0.0302041389343
0.0275,0.0302696228027
0.027615,0.0303349032593
0.02773,0.0303999789672
0.027845,0.0304648485899
0.02796,0.0305295107906
0.028075,0.0305939642326
0.02819,0.0306582075792
0.028305,0.0307222394938
0.02842,0.0307860586395
0.028535,0.0308496636796
0.02865,0.0309130532776
0.028765,0.0309762260966
0.02888,0.0310391808
0.028995,0.031101916051
0.02911,0.031164430513
0.029225,0.0312267228493
0.02934,0.031288791723
0.029455,0.0313506357977
0.02957,0.0314122537364
0.029685,0.0314736442025
0.0298,0.0315348058594
0.029915,0.0315957373702
0.03003,0.0316564373984
0.030145,0.0317169046071
0.03026,0.0317771376598
0.030375,0.0318371352196
0.03049,0.0318968959499
0.030605,0.0319564185139
0.03072,0.032015701575
0.030835,0.0320747437965
0.03095,0.0321335438416
0.031065,0.0321921003736
0.03118,0.0322504120559
0.031295,0.0323084775517
0.03141,0.0323662955243
0.031525,0.032423864637
0.03164,0.0324811835531
0.031755,0.032538250936
0.03187,0.0325950654488
0.031985,0.0326516257549
0.0321,0.0327079305176
0.032215,0.0327639784001
0.03233,0.0328197680659
0.032445,0.0328752981781
0.03256,0.0329305674
0.032675,0.032985574395
0.03279,0.0330403178263
0.032905,0.0330947963573
0.03302,0.0331490086512
0.033135,0.0332029533713
0.03325,0.0332566291809
0.033365,0.0333100347433
0.03348,0.0333631687219
0.033595,0.0334160297798
