# F28 duct inner/outer surfaces and the O-band boundary C'.
# Actuator-disk representation; no rotor.
x_m,r_inner_m,r_outer_m,r_cprime_inner_m,r_cprime_outer_m
0.0411,0.125,0.151389100052,0.1225,0.153889100052
0.0412,0.125,0.151395718494,0.1225,0.153895718494
0.0413,0.125,0.151402298014,0.1225,0.153902298014
0.0414,0.125,0.151408838679,0.1225,0.153908838679
0.0415,0.125,0.151415340556,0.1225,0.153915340556
0.0416,0.125,0.15142180371,0.1225,0.15392180371
0.0417,0.125,0.151428228209,0.1225,0.153928228209
0.0418,0.125,0.151434614117,0.1225,0.153934614117
0.0419,0.125,0.151440961498,0.1225,0.153940961498
0.042,0.125,0.151447270417,0.1225,0.153947270417
0.0421,0.125,0.151453540937,0.1225,0.153953540937
0.0422,0.125,0.151459773122,0.1225,0.153959773122
0.0423,0.125,0.151465967033,0.1225,0.153965967033
0.0424,0.125,0.151472122733,0.1225,0.153972122733
0.0425,0.125,0.151478240283,0.1225,0.153978240283
0.0426,0.125,0.151484319745,0.1225,0.153984319745
0.0427,0.125,0.151490361178,0.1225,0.153990361178
0.0428,0.125,0.151496364643,0.1225,0.153996364643
0.0429,0.125,0.151502330199,0.1225,0.154002330199
0.043,0.125,0.151508257905,0.1225,0.154008257905
0.0431,0.125,0.151514147819,0.1225,0.154014147819
0.0432,0.125,0.15152,0.1225,0.15402
0.0433,0.125,0.151525814505,0.1225,0.154025814505
0.0434,0.125,0.151531591391,0.1225,0.154031591391
0.0435,0.125,0.151537330714,0.1225,0.154037330714
0.0436,0.125,0.15154303253,0.1225,0.15404303253
0.0437,0.125,0.151548696896,0.1225,0.154048696896
0.0438,0.125,0.151554323866,0.1225,0.154054323866
0.0439,0.125,0.151559913494,0.1225,0.154059913494
0.044,0.125,0.151565465836,0.1225,0.154065465836
0.0441,0.125,0.151570980944,0.1225,0.154070980944
0.0442,0.125,0.151576458871,0.1225,0.154076458871
0.0443,0.125,0.151581899671,0.1225,0.154081899671
0.0444,0.125,0.151587303396,0.1225,0.154087303396
0.0445,0.125,0.151592670098,0.1225,0.154092670098
0.0446,0.125,0.151597999828,0.1225,0.154097999828
0.0447,0.125,0.151603292636,0.1225,0.154103292636
0.0448,0.125,0.151608548574,0.1225,0.154108548574
0.0449,0.125,0.151613767692,0.1225,0.154113767692
0.045,0.125,0.151618950039,0.1225,0.154118950039
0.0451,0.125,0.151624095664,0.1225,0.154124095664
0.0452,0.125,0.151629204616,0.1225,0.154129204616
0.0453,0.125,0.151634276944,0.1225,0.154134276944
0.0454,0.125,0.151639312694,0.1225,0.154139312694
0.0455,0.125,0.151644311916,0.1225,0.154144311916
0.0456,0.125,0.151649274656,0.1225,0.154149274656
0.0457,0.125,0.151654200959,0.1225,0.154154200959
0.0458,0.125,0.151659090874,0.1225,0.154159090874
0.0459,0.125,0.151663944444,0.1225,0.154163944444
0.046,0.125,0.151668761717,0.1225,0.154168761717
0.0461,0.125,0.151673542736,0.1225,0.154173542736
0.0462,0.125,0.151678287546,0.1225,0.154178287546
0.0463,0.125,0.151682996191,0.1225,0.154182996191
0.0464,0.125,0.151687668715,0.1225,0.154187668715
0.0465,0.125,0.151692305162,0.1225,0.154192305162
0.0466,0.125,0.151696905574,0.1225,0.154196905574
0.0467,0.125,0.151701469993,0.1225,0.154201469993
0.0468,0.125,0.151705998462,0.1225,0.154205998462
0.0469,0.125,0.151710491023,0.1225,0.154210491023
0.047,0.125,0.151714947716,0.1225,0.154214947716
0.0471,0.125,0.151719368584,0.1225,0.154219368584
0.0472,0.125,0.151723753665,0.1225,0.154223753665
0.0473,0.125,0.151728103001,0.1225,0.154228103001
0.0474,0.125,0.151732416631,0.1225,0.154232416631
0.0475,0.125,0.151736694594,0.1225,0.154236694594
0.0476,0.125,0.15174093693,0.1225,0.15424093693
0.0477,0.125,0.151745143677,0.1225,0.154245143677
0.0478,0.125,0.151749314874,0.1225,0.154249314874
0.0479,0.125,0.151753450557,0.1225,0.154253450557
0.048,0.125,0.151757550765,0.1225,0.154257550765
0.0481,0.125,0.151761615535,0.1225,0.154261615535
0.0482,0.125,0.151765644904,0.1225,0.154265644904
0.0483,0.125,0.151769638907,0.1225,0.154269638907
0.0484,0.125,0.151773597581,0.1225,0.154273597581
0.0485,0.125,0.151777520962,0.1225,0.154277520962
0.0486,0.125,0.151781409084,0.1225,0.154281409084
0.0487,0.125,0.151785261983,0.1225,0.154285261983
0.0488,0.125,0.151789079693,0.1225,0.154289079693
