eta,surface,source,x_over_c,Cp
0.44,upper,tunnel,0.98387,0.211
0.44,lower,cfd,0.00010754576214822009,0.8067528009414673
0.44,lower,cfd,0.0004359035810921341,0.8245415687561035
0.44,lower,cfd,0.0010024195071309805,0.8162843585014343
0.44,lower,cfd,0.0018377999076619744,0.786761462688446
0.44,lower,cfd,0.002988104010000825,0.7308692932128906
0.44,lower,cfd,0.004518582951277494,0.6500769853591919
0.44,lower,cfd,0.006518808659166098,0.5443986058235168
0.44,lower,cfd,0.009109760634601116,0.4157780110836029
0.44,lower,cfd,0.012453127652406693,0.27174314856529236
0.44,lower,cfd,0.016763852909207344,0.12934577465057373
0.44,lower,cfd,0.022325783967971802,0.021268174052238464
0.44,lower,cfd,0.029511015862226486,-0.0247292909771204
0.44,lower,cfd,0.03880224749445915,-0.020574262365698814
0.44,lower,cfd,0.05081629753112793,-0.0076319314539432526
0.44,lower,cfd,0.06632399559020996,-0.016235558316111565
0.44,lower,cfd,0.08625797927379608,-0.04255463927984238
0.44,lower,cfd,0.11169258505105972,-0.07250162959098816
0.44,lower,cfd,0.14377643167972565,-0.10226275771856308
0.44,lower,cfd,0.1835915446281433,-0.13210344314575195
0.44,lower,cfd,0.2319263070821762,-0.1639164537191391
0.44,lower,cfd,0.28897473216056824,-0.19942332804203033
0.44,lower,cfd,0.354031503200531,-0.2350330650806427
0.44,lower,cfd,0.4253067374229431,-0.2590928375720978
0.44,lower,cfd,0.4999999701976776,-0.2564062774181366
0.44,lower,cfd,0.5746932029724121,-0.2230924516916275
0.44,lower,cfd,0.6459684371948242,-0.17092981934547424
0.44,lower,cfd,0.7110251784324646,-0.11700278520584106
0.44,lower,cfd,0.7680736184120178,-0.07173658907413483
0.44,lower,cfd,0.8164085149765015,-0.033015426248311996
0.44,lower,cfd,0.856223464012146,0.004861131776124239
0.44,lower,cfd,0.8883072733879089,0.04295794665813446
0.44,lower,cfd,0.913741946220398,0.07898147404193878
0.44,lower,cfd,0.9336759448051453,0.11099550127983093
0.44,lower,cfd,0.9491836428642273,0.13802897930145264
0.44,lower,cfd,0.9611977338790894,0.159892737865448
0.44,lower,cfd,0.9704889059066772,0.1775662899017334
0.44,lower,cfd,0.9776741862297058,0.19245482981204987
0.44,lower,cfd,0.9832361340522766,0.20524662733078003
0.44,lower,cfd,0.9875468611717224,0.21626634895801544
0.44,lower,cfd,0.9908902645111084,0.22576117515563965
0.44,lower,cfd,0.9934810996055603,0.23385581374168396
0.44,lower,cfd,0.9954813122749329,0.2406923770904541
0.44,lower,cfd,0.9970118999481201,0.2465338110923767
0.44,lower,cfd,0.9981622099876404,0.25153374671936035
0.44,lower,cfd,0.9989974498748779,0.255876362323761
0.44,lower,cfd,0.9995640516281128,0.2588031589984894
0.44,lower,cfd,0.9998923540115356,0.2608412802219391
0.44,lower,tunnel,0.0052,0.565
0.44,lower,tunnel,0.01922,-0.007
0.44,lower,tunnel,0.04909,-0.045
0.44,lower,tunnel,0.16699,-0.13
0.44,lower,tunnel,0.26735,-0.181
0.44,lower,tunnel,0.36705,-0.233
0.44,lower,tunnel,0.46706,-0.269
0.44,lower,tunnel,0.56705,-0.228
0.44,lower,tunnel,0.66698,-0.151
0.44,lower,tunnel,0.81705,-0.036
0.44,lower,tunnel,0.94937,0.143
0.65,upper,cfd,0.0,0.7407059669494629
0.65,upper,cfd,0.00010752625530585647,0.6651951670646667
0.65,upper,cfd,0.00043593524605967104,0.5708277225494385
0.65,upper,cfd,0.0010024678194895387,0.4589014947414398
0.65,upper,cfd,0.0018378577660769224,0.32766157388687134
0.65,upper,cfd,0.002988080494105816,0.1787816882133484
0.65,upper,cfd,0.004518601577728987,0.012850102037191391
0.65,upper,cfd,0.006518789567053318,-0.17149867117404938
0.65,upper,cfd,0.009109747596085072,-0.37527257204055786
0.65,upper,cfd,0.012453055940568447,-0.5974043011665344
0.65,upper,cfd,0.016763851046562195,-0.828046977519989
0.65,upper,cfd,0.022325731813907623,-1.0377259254455566
0.65,upper,cfd,0.029511084780097008,-1.1777318716049194
0.65,upper,cfd,0.03880223631858826,-1.212548851966858
0.65,upper,cfd,0.05081627517938614,-1.1698845624923706
0.65,upper,cfd,0.06632404029369354,-1.1084842681884766
0.65,upper,cfd,0.08625787496566772,-1.0447585582733154
0.65,upper,cfd,0.11169254034757614,-0.960023820400238
0.65,upper,cfd,0.14377643167972565,-0.8476454019546509
