# T_hi_c: in-pass monitor series, written by write_monitor_tsv.py
# every sample in the final 400-iteration window (the window the
# convergence verdict is taken on) plus the history every 500 iterations
# S = least-squares d(theta)/d(y/H) over the five mid-width probes at
#     y/H = (0.3, 0.4, 0.5, 0.6, 0.7), theta = (T - T_cold)/dT, dT = 39.9 K
iteration	hotWall_int_snGradT	S	Uy_max_m_per_s	in_final_window
106500	6.485767021e+01	0.242263643	2.612364299e-01	no
107000	6.485836392e+01	0.242277419	2.612548106e-01	no
107500	6.485951918e+01	0.242269039	2.612595550e-01	no
108000	6.486058385e+01	0.242259791	2.612664197e-01	no
108500	6.486154669e+01	0.242246347	2.612748263e-01	no
109000	6.486228485e+01	0.242229898	2.612844562e-01	no
109500	6.486267584e+01	0.242211180	2.612946946e-01	no
110000	6.486260722e+01	0.242191396	2.613046909e-01	no
110500	6.486198683e+01	0.242172187	2.613133743e-01	no
111000	6.486075419e+01	0.242155605	2.613196378e-01	no
111500	6.485889531e+01	0.242143764	2.613223690e-01	no
112000	6.485645112e+01	0.242138859	2.613204503e-01	no
112500	6.485352302e+01	0.242142854	2.613131289e-01	no
113000	6.485028542e+01	0.242157351	2.612999055e-01	no
113500	6.484697818e+01	0.242183351	2.612807627e-01	no
114000	6.484386347e+01	0.242220704	2.612562445e-01	no
114500	6.484124988e+01	0.242269305	2.612272150e-01	no
115000	6.483942155e+01	0.242327792	2.611950231e-01	no
115500	6.486137639e+01	0.242172314	2.613565120e-01	no
116000	6.485342315e+01	0.242193617	2.612983301e-01	no
116500	6.485013842e+01	0.242195425	2.612810058e-01	no
117000	6.484760883e+01	0.242222203	2.612622383e-01	no
117500	6.484561931e+01	0.242256762	2.612414848e-01	no
118000	6.484432073e+01	0.242297538	2.612186152e-01	no
118500	6.484392096e+01	0.242342365	2.611953739e-01	no
119000	6.484463790e+01	0.242388320	2.611734630e-01	no
119500	6.484663567e+01	0.242431871	2.611549164e-01	no
120000	6.485879010e+01	0.242232644	2.612932109e-01	no
120500	6.484698627e+01	0.242340835	2.612007104e-01	no
121000	6.484778812e+01	0.242375740	2.611849836e-01	no
121500	6.484979902e+01	0.242406682	2.611732645e-01	no
122000	6.485315308e+01	0.242430668	2.611671181e-01	no
122500	6.485773473e+01	0.242315192	2.613117662e-01	no
123000	6.485017579e+01	0.242142939	2.613007655e-01	no
123500	6.484737359e+01	0.242175178	2.612835034e-01	no
124000	6.484479828e+01	0.242212224	2.612618739e-01	no
124500	6.484223427e+01	0.242257395	2.612350430e-01	no
125000	6.484036099e+01	0.242311329	2.612046384e-01	no
125500	6.485979726e+01	0.242238453	2.612658539e-01	no
126000	6.485945245e+01	0.242227905	2.612845840e-01	no
126500	6.485803028e+01	0.242222010	2.612634555e-01	no
127000	6.484518645e+01	0.242291190	2.611638811e-01	no
127500	6.485512174e+01	0.242374776	2.611937000e-01	no
128000	6.485952963e+01	0.242371968	2.612080673e-01	no
128500	6.486367230e+01	0.242359800	2.612206014e-01	no
129000	6.486799458e+01	0.242334068	2.612415279e-01	no
129500	6.487229333e+01	0.242292970	2.612699935e-01	no
130000	6.486089236e+01	0.242223089	2.612867899e-01	no
130500	6.485873795e+01	0.242215502	2.612873960e-01	no
131000	6.485804319e+01	0.242208720	2.612870071e-01	no
131500	6.485723192e+01	0.242206720	2.612874151e-01	no
132000	6.485624651e+01	0.242206325	2.612857390e-01	no
132500	6.485512280e+01	0.242209798	2.612819763e-01	no
133000	6.485393357e+01	0.242217233	2.612760900e-01	no
133500	6.485277588e+01	0.242228855	2.612682243e-01	no
134000	6.485176764e+01	0.242244433	2.612586133e-01	no
134500	6.485103697e+01	0.242263263	2.612478292e-01	no
135000	6.485071556e+01	0.242284269	2.612366444e-01	no
135500	6.485092080e+01	0.242305988	2.612260173e-01	no
136000	6.485174844e+01	0.242326505	2.612170715e-01	no
136500	6.485325613e+01	0.242343678	2.612110644e-01	no
137000	6.485545053e+01	0.242354950	2.612091955e-01	no
137500	6.485827619e+01	0.242358055	2.612125563e-01	no
138000	6.486160257e+01	0.242350890	2.612219036e-01	no
138500	6.486522055e+01	0.242332071	2.612376470e-01	no
139000	6.486890386e+01	0.242300984	2.612598901e-01	no
139500	6.487231905e+01	0.242256738	2.612883237e-01	no
139600	6.485743550e+01	0.242425821	2.611771963e-01	yes
139650	6.484790891e+01	0.242427277	2.611595755e-01	yes
139700	6.484139294e+01	0.242364909	2.611796980e-01	yes
139750	6.484019710e+01	0.242257198	2.612312261e-01	yes
139800	6.484487197e+01	0.242140684	2.612977802e-01	yes
139850	6.485402342e+01	0.242060424	2.613555800e-01	yes
139900	6.486436273e+01	0.242042126	2.613836192e-01	yes
139950	6.487235614e+01	0.242093997	2.613716556e-01	yes
140000	6.487515286e+01	0.242199867	2.613224402e-01	yes
