# Region            : cellZone gateZoneInner
# Cells             : 590
# Volume            : 1.015917205418e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.004082719         	1.874701229272e+00	3.820978313168e+02	2.278392192672e+00	2.499420013039e+05
0.0040838439        	1.874701593788e+00	3.820992597648e+02	2.278396711227e+00	2.499434299750e+05
0.0040849675        	1.874700636088e+00	3.821007990502e+02	2.278401628172e+00	2.499449747986e+05
0.0040860899        	1.874697483878e+00	3.821021030333e+02	2.278401583786e+00	2.499458221896e+05
0.0040872091        	1.874692370395e+00	3.821031071271e+02	2.278395766382e+00	2.499458412913e+05
0.0040883272        	1.874686042105e+00	3.821039969405e+02	2.278387554374e+00	2.499455238949e+05
0.0040894497        	1.874679146938e+00	3.821046392121e+02	2.278377259290e+00	2.499448163818e+05
0.004090567         	1.874671739018e+00	3.821050241150e+02	2.278365223422e+00	2.499437491660e+05
0.0040916758        	1.874663938232e+00	3.821051111794e+02	2.278351840277e+00	2.499423392085e+05
0.0040927803        	1.874656555743e+00	3.821049979647e+02	2.278339507898e+00	2.499409128515e+05
0.0040938867        	1.874649708478e+00	3.821047049331e+02	2.278327928322e+00	2.499394513819e+05
0.0040949841        	1.874644404034e+00	3.821042943920e+02	2.278318559228e+00	2.499381556228e+05
0.0040960941        	1.874640799982e+00	3.821039884573e+02	2.278313299723e+00	2.499373801916e+05
0.0040972191        	1.874638667959e+00	3.821034899968e+02	2.278308066949e+00	2.499364822089e+05
0.0040983465        	1.874637819779e+00	3.821028274637e+02	2.278303913947e+00	2.499355954077e+05
0.0040994718        	1.874638349492e+00	3.821019784553e+02	2.278300754649e+00	2.499346956856e+05
0.0041005969        	1.874640964786e+00	3.821011661256e+02	2.278301745919e+00	2.499342749889e+05
0.0041017181        	1.874644920129e+00	3.821003107709e+02	2.278305381729e+00	2.499341157915e+05
0.0041028427        	1.874649735918e+00	3.820992256959e+02	2.278308498040e+00	2.499337486467e+05
0.0041039658        	1.874654247506e+00	3.820979653637e+02	2.278310026344e+00	2.499330929797e+05
0.0041050864        	1.874658153553e+00	3.820963572150e+02	2.278306066331e+00	2.499316070663e+05
0.0041062059        	1.874661453213e+00	3.820945492143e+02	2.278298470005e+00	2.499295912907e+05
0.0041073239        	1.874664801750e+00	3.820928510839e+02	2.278291789695e+00	2.499277467858e+05
0.004108446         	1.874668078616e+00	3.820914321647e+02	2.278288393884e+00	2.499264454554e+05
0.0041095633        	1.874671097191e+00	3.820902781130e+02	2.278288517743e+00	2.499257027207e+05
0.0041106689        	1.874673870809e+00	3.820892371333e+02	2.278288754630e+00	2.499250464182e+05
0.0041117738        	1.874676065870e+00	3.820883971757e+02	2.278289208012e+00	2.499245450912e+05
0.0041128739        	1.874678206823e+00	3.820879037813e+02	2.278290367944e+00	2.499243477909e+05
0.0041139736        	1.874680980602e+00	3.820880294383e+02	2.278296419032e+00	2.499250926290e+05
0.0041150882        	1.874684380228e+00	3.820888490663e+02	2.278309408012e+00	2.499270521613e+05
0.0041162133        	1.874688273774e+00	3.820902746279e+02	2.278328168066e+00	2.499300416141e+05
0.0041173416        	1.874691896941e+00	3.820921008069e+02	2.278349164854e+00	2.499335375839e+05
0.0041184673        	1.874695266267e+00	3.820941140425e+02	2.278369249330e+00	2.499370560913e+05
0.004119592         	1.874697659854e+00	3.820961702081e+02	2.278386413299e+00	2.499402826408e+05
0.0041207139        	1.874699029943e+00	3.820982357327e+02	2.278400980193e+00	2.499432304110e+05
0.0041218396        	1.874699023919e+00	3.821004382042e+02	2.278414887477e+00	2.499461959428e+05
0.0041229642        	1.874697167904e+00	3.821023540896e+02	2.278422754097e+00	2.499483118329e+05
0.0041240857        	1.874693250495e+00	3.821038050997e+02	2.278422693561e+00	2.499492546161e+05
0.004125207         	1.874687884282e+00	3.821047092520e+02	2.278414663110e+00	2.499489655806e+05
0.0041263253        	1.874681698003e+00	3.821051758086e+02	2.278401386231e+00	2.499478144301e+05
0.0041274463        	1.874674143904e+00	3.821051843305e+02	2.278382527667e+00	2.499457510579e+05
0.004128564         	1.874665636621e+00	3.821046262556e+02	2.278358123811e+00	2.499427086947e+05
0.0041296697        	1.874657019195e+00	3.821036411606e+02	2.278331104173e+00	2.499390998315e+05
0.0041307759        	1.874649165979e+00	3.821024098613e+02	2.278303854398e+00	2.499353051146e+05
0.0041318753        	1.874642673161e+00	3.821010885447e+02	2.278278312915e+00	2.499316399141e+05
0.0041329762        	1.874638718370e+00	3.820999817380e+02	2.278258808736e+00	2.499287781747e+05
0.0041340933        	1.874637008609e+00	3.820991736533e+02	2.278246769717e+00	2.499269318655e+05
0.0041352184        	1.874637268906e+00	3.820986250203e+02	2.278242179761e+00	2.499260719935e+05
0.0041363463        	1.874639198206e+00	3.820982103209e+02	2.278243282916e+00	2.499259231478e+05
0.0041374719        	1.874643127055e+00	3.820979684607e+02	2.278250245942e+00	2.499265293173e+05
0.0041385953        	1.874649581967e+00	3.820980808440e+02	2.278265279876e+00	2.499282519375e+05
0.0041397181        	1.874656692192e+00	3.820984022306e+02	2.278285793410e+00	2.499307123601e+05
0.0041408431        	1.874663590593e+00	3.820987333872e+02	2.278307797506e+00	2.499333432314e+05
0.00414197          	1.874669392267e+00	3.820987949114e+02	2.278326922624e+00	2.499354826820e+05
0.0041430904        	1.874673723444e+00	3.820983489800e+02	2.278338935551e+00	2.499365105873e+05
0.0041442119        	1.874676922951e+00	3.820976354484e+02	2.278346042313e+00	2.499368250636e+05
0.0041453311        	1.874680172023e+00	3.820967383814e+02	2.278350152794e+00	2.499366896074e+05
0.0041464498        	1.874683181608e+00	3.820960008166e+02	2.278355902406e+00	2.499368378157e+05
0.0041475678        	1.874685909016e+00	3.820952574765e+02	2.278360760722e+00	2.499368834053e+05
0.0041486723        	1.874687768866e+00	3.820944405122e+02	2.278362444916e+00	2.499365319843e+05
0.0041497809        	1.874688837464e+00	3.820934805324e+02	2.278359068545e+00	2.499355308298e+05
0.0041508789        	1.874689996376e+00	3.820927875821e+02	2.278354596816e+00	2.499345844987e+05
0.004151983         	1.874691835026e+00	3.820926591669e+02	2.278354233298e+00	2.499344592432e+05
0.0041531063        	1.874694836879e+00	3.820930643137e+02	2.278358185949e+00	2.499351574298e+05
0.0041542323        	1.874697939388e+00	3.820940187477e+02	2.278367476277e+00	2.499368006203e+05
0.0041553591        	1.874700922267e+00	3.820953544201e+02	2.278379515946e+00	2.499389937809e+05
0.0041564862        	1.874703425634e+00	3.820970145198e+02	2.278392517290e+00	2.499415045720e+05
0.004157609         	1.874705304052e+00	3.820988410399e+02	2.278405056449e+00	2.499440729379e+05
0.0041587333        	1.874706044944e+00	3.821008763783e+02	2.278418545641e+00	2.499468823419e+05
0.0041598577        	1.874705197608e+00	3.821030191257e+02	2.278431906825e+00	2.499497481611e+05
0.0041609821        	1.874701949080e+00	3.821048531304e+02	2.278439263276e+00	2.499517540073e+05
0.0041621015        	1.874696416433e+00	3.821062135593e+02	2.278439121153e+00	2.499526287843e+05
0.0041632204        	1.874689751528e+00	3.821072376410e+02	2.278433727631e+00	2.499527081186e+05
0.0041643411        	1.874682483352e+00	3.821079110270e+02	2.278424554379e+00	2.499521432740e+05
0.004165458         	1.874674496424e+00	3.821081819816e+02	2.278411271882e+00	2.499508640565e+05
0.0041665711        	1.874665643227e+00	3.821079628999e+02	2.278393983967e+00	2.499488246483e+05
0.0041676755        	1.874657127843e+00	3.821073057355e+02	2.278374112035e+00	2.499462144974e+05
0.0041687864        	1.874649131961e+00	3.821062748217e+02	2.278352491941e+00	2.499431680369e+05
0.0041698837        	1.874643179387e+00	3.821051474529e+02	2.278333103208e+00	2.499403037943e+05
0.0041709908        	1.874639670923e+00	3.821041158737e+02	2.278318318683e+00	2.499380083767e+05
0.0041721168        	1.874637868637e+00	3.821029875698e+02	2.278304472895e+00	2.499357535063e+05
0.0041732433        	1.874637077266e+00	3.821017778081e+02	2.278292684892e+00	2.499336707950e+05
0.0041743686        	1.874637928132e+00	3.821005192207e+02	2.278283326337e+00	2.499318224468e+05
0.0041754953        	1.874640686891e+00	3.820994329533e+02	2.278280223546e+00	2.499307725699e+05
0.0041766164        	1.874645167230e+00	3.820984127035e+02	2.278281375063e+00	2.499302321392e+05
0.0041777413        	1.874650240585e+00	3.820973444060e+02	2.278284344611e+00	2.499298593396e+05
0.0041788645        	1.874654878915e+00	3.820962081222e+02	2.278287494542e+00	2.499294621706e+05
0.0041799861        	1.874658840261e+00	3.820948873967e+02	2.278287612089e+00	2.499286115999e+05
0.0041811047        	1.874661539854e+00	3.820934685143e+02	2.278285514480e+00	2.499274540373e+05
0.0041822222        	1.874664266050e+00	3.820921705127e+02	2.278284054015e+00	2.499264446459e+05
0.0041833458        	1.874667348468e+00	3.820910740246e+02	2.278285307212e+00	2.499258648165e+05
0.0041844631        	1.874670303651e+00	3.820903005211e+02	2.278290423706e+00	2.499259193156e+05
0.0041855705        	1.874673026828e+00	3.820896684796e+02	2.278296264784e+00	2.499261456933e+05
0.004186675         	1.874675109298e+00	3.820892094575e+02	2.278301790221e+00	2.499264503816e+05
0.0041877791        	1.874676748890e+00	3.820889802545e+02	2.278306564832e+00	2.499268225589e+05
0.0041888775        	1.874678678409e+00	3.820892190961e+02	2.278313689682e+00	2.499277593391e+05
0.0041899894        	1.874681507593e+00	3.820899951214e+02	2.278325649096e+00	2.499295776326e+05
0.0041911152        	1.874685293821e+00	3.820913434248e+02	2.278342745897e+00	2.499323344498e+05
0.0041922427        	1.874688753590e+00	3.820930373329e+02	2.278361658317e+00	2.499355159757e+05
0.0041933687        	1.874691674666e+00	3.820949041103e+02	2.278379667720e+00	2.499387114170e+05
0.0041944947        	1.874693843760e+00	3.820967870816e+02	2.278394329230e+00	2.499415504920e+05
0.0041956161        	1.874695207123e+00	3.820986564310e+02	2.278405984802e+00	2.499440506174e+05
0.004196742         	1.874695237747e+00	3.821007429440e+02	2.278417968561e+00	2.499467293613e+05
0.0041978657        	1.874693560951e+00	3.821026842698e+02	2.278425972511e+00	2.499488769678e+05
0.0041989872        	1.874689920869e+00	3.821042080045e+02	2.278426674710e+00	2.499499509515e+05
0.004200107         	1.874684486927e+00	3.821052553356e+02	2.278420105193e+00	2.499499160634e+05
0.0042012254        	1.874678360005e+00	3.821058368698e+02	2.278407605187e+00	2.499489254575e+05
0.0042023492        	1.874671194926e+00	3.821059917889e+02	2.278390363325e+00	2.499471352356e+05
0.0042034669        	1.874663015245e+00	3.821056234011e+02	2.278368294967e+00	2.499444730416e+05
0.0042045734        	1.874654683180e+00	3.821048254225e+02	2.278343415457e+00	2.499412210673e+05
0.0042056784        	1.874647009852e+00	3.821037001891e+02	2.278317433987e+00	2.499376343345e+05
0.0042067797        	1.874640518721e+00	3.821024602322e+02	2.278292349128e+00	2.499340717972e+05
0.0042078784        	1.874636353019e+00	3.821012580666e+02	2.278271113842e+00	2.499309572578e+05
0.0042089915        	1.874634527182e+00	3.821002272591e+02	2.278255716176e+00	2.499285965675e+05
0.0042101166        	1.874634624098e+00	3.820994069595e+02	2.278246939490e+00	2.499270998851e+05
0.0042112457        	1.874636557837e+00	3.820986318675e+02	2.278242491154e+00	2.499261068634e+05
0.0042123711        	1.874640112584e+00	3.820980416113e+02	2.278244124488e+00	2.499259009454e+05
0.004213495         	1.874646047048e+00	3.820977672777e+02	2.278252960817e+00	2.499266911319e+05
0.0042146168        	1.874652622588e+00	3.820976824752e+02	2.278267533455e+00	2.499282343076e+05
0.0042157418        	1.874659309774e+00	3.820976512140e+02	2.278284805775e+00	2.499301090928e+05
0.0042168668        	1.874664931080e+00	3.820974512724e+02	2.278300408664e+00	2.499316909636e+05
