# Region type : patch outlet
# Faces         : 24
# Area          : 6.97245941e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.00025056917   	3.56305908e-04
0.00025108309   	3.56529407e-04
0.00025159692   	3.56742735e-04
0.00025211067   	3.56960570e-04
0.00025262436   	3.57177969e-04
0.00025313798   	3.57392795e-04
0.00025365154   	3.57619778e-04
0.00025416504   	3.57848056e-04
0.0002546785    	3.58065206e-04
0.00025519189   	3.58271998e-04
0.00025570524   	3.58476597e-04
0.00025621853   	3.58686929e-04
0.00025673176   	3.58906490e-04
0.00025724494   	3.59129961e-04
0.0002577581    	3.59345519e-04
0.0002582712    	3.59549048e-04
0.00025878425   	3.59761185e-04
0.00025929724   	3.59964435e-04
0.0002598102    	3.60177106e-04
0.00026032312   	3.60381068e-04
0.00026083597   	3.60595647e-04
0.00026134878   	3.60810094e-04
0.00026186155   	3.61009203e-04
0.00026237428   	3.61201279e-04
0.00026288694   	3.61398072e-04
0.00026339959   	3.61606891e-04
0.00026391217   	3.61823822e-04
0.00026442471   	3.62036000e-04
0.00026493721   	3.62234364e-04
0.00026544969   	3.62426958e-04
0.00026596212   	3.62623136e-04
0.00026647449   	3.62822792e-04
0.00026698684   	3.63029035e-04
0.00026749913   	3.63237822e-04
0.00026801139   	3.63441485e-04
0.0002685236    	3.63637770e-04
0.00026903578   	3.63825397e-04
0.00026954791   	3.64014199e-04
0.00027006001   	3.64213785e-04
0.00027057206   	3.64419354e-04
0.00027108408   	3.64620969e-04
0.00027159608   	3.64804362e-04
0.00027210802   	3.64984214e-04
0.0002726199    	3.65168224e-04
0.00027313176   	3.65367482e-04
0.0002736436    	3.65569397e-04
0.00027415538   	3.65773043e-04
0.00027466713   	3.65967405e-04
0.00027517883   	3.66150173e-04
0.0002756905    	3.66327268e-04
0.00027620214   	3.66510685e-04
0.00027671373   	3.66707338e-04
0.0002772253    	3.66909759e-04
0.00027773683   	3.67110029e-04
0.00027824831   	3.67290008e-04
0.00027875977   	3.67462542e-04
0.0002792712    	3.67640502e-04
0.0002797826    	3.67829242e-04
0.00028029395   	3.68028482e-04
0.00028080527   	3.68223797e-04
0.00028131656   	3.68408332e-04
0.00028182781   	3.68584338e-04
0.00028233902   	3.68758046e-04
0.00028285018   	3.68941006e-04
0.00028336131   	3.69134173e-04
0.00028387242   	3.69328971e-04
0.0002843835    	3.69509767e-04
0.00028489452   	3.69674102e-04
0.00028540555   	3.69858358e-04
0.00028591652   	3.70032374e-04
0.00028642746   	3.70211683e-04
0.00028693836   	3.70405812e-04
0.00028744925   	3.70598834e-04
0.00028796011   	3.70769286e-04
0.00028847092   	3.70933562e-04
0.00028898171   	3.71107124e-04
0.00028949246   	3.71294972e-04
0.00029000319   	3.71489026e-04
0.00029051387   	3.71679477e-04
0.00029102452   	3.71855238e-04
0.00029153514   	3.72017468e-04
0.00029204574   	3.72179809e-04
0.0002925563    	3.72357250e-04
0.00029306682   	3.72550138e-04
0.00029357731   	3.72746004e-04
0.00029408777   	3.72907347e-04
0.0002945982    	3.73068518e-04
0.00029510858   	3.73239963e-04
0.00029561897   	3.73423490e-04
0.00029612932   	3.73608519e-04
0.00029663965   	3.73780528e-04
0.00029714992   	3.73932520e-04
0.00029766017   	3.74077641e-04
0.00029817039   	3.74239562e-04
0.00029868058   	3.74430749e-04
0.00029919072   	3.74635336e-04
0.00029970086   	3.74831076e-04
0.00030021097   	3.74983715e-04
0.00030072106   	3.75136270e-04
0.00030123109   	3.75302844e-04
0.00030174109   	3.75480721e-04
0.0003022511    	3.75667718e-04
0.00030276105   	3.75852577e-04
0.00030327103   	3.76021646e-04
0.0003037813    	3.76175934e-04
0.00030429163   	3.76329803e-04
0.0003048019    	3.76500596e-04
0.00030531202   	3.76689160e-04
0.00030582199   	3.76880680e-04
0.00030633189   	3.77034060e-04
0.00030684174   	3.77187640e-04
0.00030735153   	3.77357831e-04
0.00030786124   	3.77536121e-04
0.00030837092   	3.77712030e-04
0.00030888055   	3.77877286e-04
0.00030939015   	3.78026273e-04
0.0003098997    	3.78166833e-04
0.00031040922   	3.78325959e-04
0.00031091872   	3.78514092e-04
0.00031142816   	3.78713063e-04
0.00031193758   	3.78899267e-04
0.00031244697   	3.79061433e-04
0.00031295633   	3.79205575e-04
0.00031346564   	3.79352820e-04
0.00031397492   	3.79523868e-04
0.00031448417   	3.79712419e-04
0.0003149934    	3.79895017e-04
0.0003155026    	3.80054452e-04
0.00031601175   	3.80198908e-04
0.00031652087   	3.80352030e-04
0.00031702996   	3.80529393e-04
0.00031753903   	3.80721227e-04
0.00031804805   	3.80907488e-04
0.00031855703   	3.81039465e-04
0.00031906599   	3.81194482e-04
0.00031957493   	3.81369345e-04
0.00032008383   	3.81545289e-04
0.00032059271   	3.81710579e-04
0.00032110157   	3.81858343e-04
0.00032161037   	3.81991396e-04
0.00032211914   	3.82132841e-04
0.00032262789   	3.82312408e-04
0.00032313661   	3.82515627e-04
0.0003236453    	3.82712064e-04
0.00032415394   	3.82880712e-04
0.00032466255   	3.83023187e-04
0.00032517114   	3.83160431e-04
0.0003256797    	3.83322426e-04
0.0003261882    	3.83509550e-04
0.00032669668   	3.83695124e-04
0.00032720513   	3.83853369e-04
0.00032771356   	3.83993009e-04
0.00032822196   	3.84141672e-04
0.00032873033   	3.84318969e-04
0.00032923865   	3.84513593e-04
0.00032974694   	3.84701429e-04
0.00033025518   	3.84865299e-04
0.00033076342   	3.85007796e-04
0.0003312716    	3.85152204e-04
0.00033177976   	3.85321564e-04
0.00033228789   	3.85501353e-04
0.000332796     	3.85655874e-04
0.00033330407   	3.85784069e-04
0.0003338121    	3.85924412e-04
0.00033432007   	3.86106174e-04
0.00033482804   	3.86311943e-04
0.00033533599   	3.86508788e-04
0.00033584388   	3.86675477e-04
0.00033635174   	3.86815205e-04
0.00033685958   	3.86953658e-04
0.00033736739   	3.87122796e-04
0.00033787515   	3.87316394e-04
0.00033838285   	3.87500745e-04
0.00033889056   	3.87653375e-04
0.00033939824   	3.87791234e-04
0.00033990586   	3.87947345e-04
0.00034041343   	3.88135936e-04
0.000340921     	3.88337095e-04
0.00034142855   	3.88523512e-04
0.00034193604   	3.88681585e-04
0.00034244348   	3.88821966e-04
0.00034295091   	3.88974648e-04
0.00034345833   	3.89155585e-04
0.00034396568   	3.89334029e-04
0.00034447299   	3.89477431e-04
0.00034498029   	3.89602504e-04
0.0003454876    	3.89757459e-04
0.00034599485   	3.89957842e-04
0.00034650207   	3.90171655e-04
0.00034700927   	3.90364588e-04
0.00034751642   	3.90522848e-04
0.00034802375   	3.90659330e-04
0.0003485311    	3.90810913e-04
0.00034903841   	3.90999680e-04
0.00034954558   	3.91199331e-04
0.00035005259   	3.91370557e-04
0.00035055958   	3.91513594e-04
0.00035106651   	3.91660355e-04
0.00035157336   	3.91841244e-04
0.00035208021   	3.92048806e-04
0.00035258701   	3.92252984e-04
0.00035309375   	3.92428465e-04
0.00035360069   	3.92575874e-04
0.00035410767   	3.92724064e-04
0.00035461455   	3.92903300e-04
0.00035512129   	3.93098567e-04
0.00035562791   	3.93264790e-04
0.00035613446   	3.93398683e-04
0.00035664097   	3.93539497e-04
0.00035714742   	3.93729948e-04
0.00035765382   	3.93952259e-04
0.00035816025   	3.94165030e-04
0.00035866667   	3.94342265e-04
0.00035917305   	3.94488387e-04
0.00035967936   	3.94637667e-04
0.0003601856    	3.94825750e-04
0.00036069179   	3.95036404e-04
0.00036119795   	3.95224010e-04
0.00036170408   	3.95374265e-04
0.00036221016   	3.95522079e-04
0.00036271624   	3.95705980e-04
0.0003632223    	3.95923957e-04
0.0003637283    	3.96142598e-04
0.00036423427   	3.96332313e-04
0.00036474025   	3.96488776e-04
0.00036524627   	3.96641575e-04
0.0003657523    	3.96828919e-04
0.00036625827   	3.97040354e-04
0.00036676419   	3.97223046e-04
0.00036727006   	3.97367619e-04
0.00036777588   	3.97511395e-04
0.00036828166   	3.97708991e-04
0.0003687874    	3.97942842e-04
0.00036929313   	3.98169626e-04
0.00036979889   	3.98359840e-04
0.00037030466   	3.98514743e-04
0.00037081039   	3.98676418e-04
0.00037131607   	3.98881861e-04
0.0003718217    	3.99106759e-04
0.00037232728   	3.99298583e-04
0.0003728328    	3.99451887e-04
0.00037333827   	3.99611666e-04
0.00037384371   	3.99818502e-04
0.00037434915   	4.00057686e-04
0.00037485457   	4.00269179e-04
0.00037534281   	4.00438736e-04
0.00037583254   	4.00633162e-04
0.00037632904   	4.00811880e-04
0.00037683108   	4.01025303e-04
0.0003773369    	4.01253286e-04
0.00037784365   	4.01431178e-04
0.00037834965   	4.01580889e-04
0.00037885526   	4.01753851e-04
0.00037936067   	4.01986161e-04
0.00037986599   	4.02240221e-04
0.00038037122   	4.02452453e-04
0.00038085581   	4.02619796e-04
0.00038134212   	4.02815297e-04
0.0003818365    	4.03016553e-04
0.00038233716   	4.03256007e-04
0.00038284215   	4.03484485e-04
0.00038334728   	4.03665952e-04
0.00038385188   	4.03819070e-04
0.00038435706   	4.04022411e-04
0.00038486275   	4.04280868e-04
0.00038536855   	4.04536946e-04
0.00038587418   	4.04754348e-04
0.00038637965   	4.04936788e-04
0.00038688462   	4.05130891e-04
0.00038738917   	4.05373423e-04
0.00038789382   	4.05631051e-04
0.00038839863   	4.05837444e-04
0.00038890347   	4.06005658e-04
0.00038940826   	4.06199741e-04
0.00038991296   	4.06474317e-04
0.00039039356   	4.06718427e-04
0.00039087648   	4.06960040e-04
0.00039136837   	4.07157526e-04
0.00039186768   	4.07356986e-04
0.00039237223   	4.07608806e-04
0.00039287771   	4.07889254e-04
0.00039338292   	4.08120149e-04
0.00039388829   	4.08300810e-04
0.0003943939    	4.08502923e-04
0.00039489951   	4.08780363e-04
0.00039540401   	4.09078273e-04
0.00039590843   	4.09332375e-04
0.00039641305   	4.09538790e-04
0.00039691782   	4.09759917e-04
0.00039742255   	4.10048597e-04
0.00039792583   	4.10354431e-04
0.00039842922   	4.10601452e-04
0.0003989331    	4.10797130e-04
0.00039943733   	4.11033610e-04
0.00039994164   	4.11341165e-04
0.00040044596   	4.11666030e-04
