[mega-batch] resuming: 24076 indices already in ledger
[mega-batch] #24301 vspaero-wing ok 5.68s (session 228)
[mega-batch] #24305 reduced-order ok 0.001s (session 229)
[mega-batch] #24304 vspaero-wing ok 5.68s (session 230)
[mega-batch] #24306 openfoam-cylinder ok 6.133s (session 231)
[mega-batch] #24308 reduced-order ok 0.002s (session 232)
[mega-batch] #24309 openfoam-cylinder ok 2.036s (session 233)
[mega-batch] #24307 vspaero-wing ok 6.001s (session 234)
[mega-batch] #24311 reduced-order ok 0.0s (session 235)
[mega-batch] #24312 openfoam-cylinder ok 2.802s (session 236)
[mega-batch] #24310 vspaero-wing ok 5.609s (session 237)
[mega-batch] #24314 reduced-order ok 0.0s (session 238)
[mega-batch] #24315 openfoam-cylinder ok 2.829s (session 239)
[mega-batch] #24313 vspaero-wing ok 5.833s (session 240)
[mega-batch] #24317 reduced-order ok 0.0s (session 241)
[mega-batch] #24318 openfoam-cylinder ok 3.799s (session 242)
[mega-batch] #24316 vspaero-wing ok 5.767s (session 243)
[mega-batch] #24320 reduced-order ok 0.0s (session 244)
[mega-batch] #24321 openfoam-cylinder ok 5.336s (session 245)
[mega-batch] #24319 vspaero-wing ok 5.833s (session 246)
[mega-batch] #24323 reduced-order ok 0.0s (session 247)
[mega-batch] #24324 openfoam-cylinder ok 3.172s (session 248)
[mega-batch] #24322 vspaero-wing ok 5.791s (session 249)
[mega-batch] #24326 reduced-order ok 0.0s (session 250)
[mega-batch] #24327 openfoam-cylinder ok 2.663s (session 251)
[mega-batch] #24325 vspaero-wing ok 6.112s (session 252)
[mega-batch] #24329 reduced-order ok 0.002s (session 253)
[mega-batch] #24328 vspaero-wing ok 5.608s (session 254)
[mega-batch] #24330 openfoam-cylinder ok 6.09s (session 255)
[mega-batch] #24332 reduced-order ok 0.002s (session 256)
[mega-batch] #24331 vspaero-wing ok 5.762s (session 257)
[mega-batch] #24333 openfoam-cylinder ok 5.14s (session 258)
[mega-batch] #24335 reduced-order ok 0.0s (session 259)
[mega-batch] #24336 openfoam-cylinder ok 2.764s (session 260)
[mega-batch] #24334 vspaero-wing ok 5.772s (session 261)
[mega-batch] #24338 reduced-order ok 0.0s (session 262)
[mega-batch] #24339 openfoam-cylinder ok 1.852s (session 263)
[mega-batch] #24337 vspaero-wing ok 5.699s (session 264)
[mega-batch] #24341 reduced-order ok 0.001s (session 265)
[mega-batch] #24342 openfoam-cylinder ok 3.248s (session 266)
[mega-batch] #24340 vspaero-wing ok 5.683s (session 267)
[mega-batch] #24344 reduced-order ok 0.001s (session 268)
[mega-batch] #24345 openfoam-cylinder ok 1.674s (session 269)
[mega-batch] #24343 vspaero-wing ok 5.635s (session 270)
[mega-batch] #24347 reduced-order ok 0.0s (session 271)
[mega-batch] #24346 vspaero-wing ok 5.544s (session 272)
[mega-batch] #24348 openfoam-cylinder ok 5.865s (session 273)
[mega-batch] #24350 reduced-order ok 0.001s (session 274)
[mega-batch] #24349 vspaero-wing ok 5.692s (session 275)
[mega-batch] #24351 openfoam-cylinder ok 5.123s (session 276)
[mega-batch] #24353 reduced-order ok 0.0s (session 277)
[mega-batch] #24352 vspaero-wing ok 5.808s (session 278)
[mega-batch] #24354 openfoam-cylinder ok 3.352s (session 279)
[mega-batch] #24356 reduced-order ok 0.001s (session 280)
[mega-batch] #24357 openfoam-cylinder ok 4.04s (session 281)
[mega-batch] #24355 vspaero-wing ok 5.792s (session 282)
[mega-batch] #24359 reduced-order ok 0.0s (session 283)
[mega-batch] #24360 openfoam-cylinder ok 2.255s (session 284)
[mega-batch] #24358 vspaero-wing ok 5.621s (session 285)
[mega-batch] #24362 reduced-order ok 0.0s (session 286)
[mega-batch] #24363 openfoam-cylinder ok 2.812s (session 287)
[mega-batch] #24361 vspaero-wing ok 5.649s (session 288)
[mega-batch] #24365 reduced-order ok 0.0s (session 289)
[mega-batch] #24366 openfoam-cylinder ok 4.372s (session 290)
[mega-batch] #24364 vspaero-wing ok 5.566s (session 291)
[mega-batch] #24368 reduced-order ok 0.001s (session 292)
[mega-batch] #24367 vspaero-wing ok 5.553s (session 293)
[mega-batch] #24369 openfoam-cylinder ok 5.494s (session 294)
[mega-batch] #24371 reduced-order ok 0.001s (session 295)
[mega-batch] #24372 openfoam-cylinder ok 3.016s (session 296)
[mega-batch] #24370 vspaero-wing ok 5.639s (session 297)
[mega-batch] #24374 reduced-order ok 0.0s (session 298)
[mega-batch] #24373 vspaero-wing ok 5.682s (session 299)
[mega-batch] #24375 openfoam-cylinder ok 3.708s (session 300)
[mega-batch] #24377 reduced-order ok 0.0s (session 301)
[mega-batch] #24376 vspaero-wing ok 5.694s (session 302)
[mega-batch] #24378 openfoam-cylinder ok 5.585s (session 303)
[mega-batch] #24380 reduced-order ok 0.001s (session 304)
[mega-batch] #24381 openfoam-cylinder ok 4.621s (session 305)
[mega-batch] #24379 vspaero-wing ok 5.763s (session 306)
[mega-batch] #24383 reduced-order ok 0.001s (session 307)
[mega-batch] #24384 openfoam-cylinder ok 1.798s (session 308)
[mega-batch] #24382 vspaero-wing ok 5.629s (session 309)
[mega-batch] #24386 reduced-order ok 0.0s (session 310)
[mega-batch] #24387 openfoam-cylinder ok 2.283s (session 311)
[mega-batch] #24385 vspaero-wing ok 5.545s (session 312)
[mega-batch] #24389 reduced-order ok 0.0s (session 313)
[mega-batch] #24390 openfoam-cylinder ok 2.065s (session 314)
[mega-batch] #24388 vspaero-wing ok 5.716s (session 315)
[mega-batch] #24392 reduced-order ok 0.0s (session 316)
[mega-batch] #24391 vspaero-wing ok 5.496s (session 317)
[mega-batch] #24393 openfoam-cylinder ok 6.275s (session 318)
[mega-batch] #24395 reduced-order ok 0.0s (session 319)
[mega-batch] #24394 vspaero-wing ok 5.791s (session 320)
[mega-batch] #24396 openfoam-cylinder ok 1.916s (session 321)
[mega-batch] #24398 reduced-order ok 0.0s (session 322)
[mega-batch] #24399 openfoam-cylinder ok 2.251s (session 323)
[mega-batch] #24397 vspaero-wing ok 5.739s (session 324)
[mega-batch] #24401 reduced-order ok 0.001s (session 325)
[mega-batch] #24400 vspaero-wing ok 5.764s (session 326)
[mega-batch] #24402 openfoam-cylinder ok 5.68s (session 327)
[mega-batch] #24404 reduced-order ok 0.0s (session 328)
[mega-batch] #24403 vspaero-wing ok 5.894s (session 329)
[mega-batch] #24405 openfoam-cylinder ok 3.268s (session 330)
[mega-batch] #24407 reduced-order ok 0.001s (session 331)
