time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
2.155	10.387	0.74165	0.45975
2.16	10.484	0.59563	0.38892
2.165	10.527	0.47173	0.32882
2.17	10.462	0.46618	0.32613
2.175	10.419	0.50867	0.34674
2.18	10.341	0.53694	0.36046
2.185	10.268	0.51869	0.3516
2.19	10.327	0.46383	0.32499
2.195	10.464	0.44573	0.31621
2.2	10.575	0.41784	0.30268
2.205	10.552	0.54912	0.36636
2.21	10.404	0.54496	0.36435
2.215	10.267	0.51779	0.35116
2.22	10.183	0.57178	0.37735
2.225	10.144	0.57881	0.38076
2.23	10.141	0.50007	0.34257
2.235	10.118	0.48527	0.33539
2.24	10.173	0.39456	0.29139
2.245	10.304	0.39551	0.29185
2.25	10.454	0.58927	0.38584
2.255	10.571	0.71429	0.44648
2.26	10.564	0.58117	0.38191
2.265	10.515	0.47767	0.33171
2.27	10.443	0.40459	0.29626
2.275	10.427	0.33709	0.26351
2.28	10.455	0.32443	0.25737
2.285	10.47	0.4175	0.30252
2.29	10.422	0.52397	0.35416
2.295	10.39	0.56457	0.37386
2.3	10.384	0.52069	0.35257
2.305	10.351	0.5025	0.34375
2.31	10.29	0.52761	0.35593
2.315	10.264	0.52356	0.35397
2.32	10.327	0.47015	0.32806
2.325	10.398	0.46369	0.32492
2.33	10.429	0.44625	0.31646
2.335	10.396	0.45753	0.32193
2.34	10.448	0.47824	0.33198
2.345	10.486	0.50065	0.34285
2.35	10.381	0.34645	0.26805
2.355	10.191	0.35359	0.27151
2.36	10.13	0.46857	0.32729
2.365	10.156	0.46818	0.3271
2.37	10.158	0.51652	0.35055
2.375	10.201	0.59699	0.38958
2.38	10.305	0.6686	0.42432
2.385	10.475	0.67559	0.42771
2.39	10.509	0.56414	0.37365
2.395	10.481	0.465	0.32556
2.4	10.436	0.41684	0.30219
2.405	10.405	0.43123	0.30918
2.41	10.368	0.4303	0.30872
2.415	10.329	0.4842	0.33487
2.42	10.35	0.54396	0.36386
2.425	10.43	0.55791	0.37063
2.43	10.509	0.53309	0.35859
2.435	10.54	0.5077	0.34627
2.44	10.434	0.34621	0.26794
2.445	10.393	0.35334	0.27139
2.45	10.371	0.4218	0.3046
2.455	10.326	0.35154	0.27052
2.46	10.34	0.37166	0.28028
2.465	10.406	0.48747	0.33646
2.47	10.412	0.46567	0.32588
2.475	10.357	0.47146	0.32869
2.48	10.371	0.42944	0.30831
2.485	10.307	0.35728	0.27331
2.49	10.253	0.4798	0.33274
2.495	10.264	0.62412	0.40274
2.5	10.313	0.62046	0.40097
2.505	10.364	0.577	0.37989
2.51	10.378	0.51676	0.35067
2.515	10.329	0.52497	0.35465
2.52	10.291	0.54759	0.36562
2.525	10.304	0.59722	0.38969
2.53	10.336	0.45164	0.31908
2.535	10.353	0.45344	0.31995
2.54	10.339	0.53358	0.35882
2.545	10.297	0.52902	0.35661
2.55	10.283	0.49641	0.34079
2.555	10.317	0.42971	0.30844
2.56	10.281	0.37249	0.28069
2.565	10.248	0.50169	0.34335
2.57	10.258	0.58187	0.38225
2.575	10.303	0.53769	0.36082
2.58	10.403	0.53763	0.36079
2.585	10.497	0.5174	0.35098
2.59	10.576	0.50319	0.34408
2.595	10.631	0.55637	0.36988
2.6	10.558	0.52063	0.35254
2.605	10.45	0.45992	0.32309
2.61	10.376	0.42351	0.30543
2.615	10.345	0.46254	0.32437
2.62	10.272	0.40254	0.29526
2.625	10.224	0.53048	0.35732
2.63	10.33	0.49313	0.3392
2.635	10.433	0.48129	0.33346
2.64	10.466	0.50925	0.34702
2.645	10.444	0.58755	0.385
2.65	10.45	0.59589	0.38905
2.655	10.524	0.47174	0.32883
2.66	10.478	0.44079	0.31381
2.665	10.333	0.40637	0.29712
2.67	10.268	0.41616	0.30187
2.675	10.383	0.50926	0.34703
2.68	10.505	0.46283	0.3245
2.685	10.546	0.45737	0.32186
2.69	10.482	0.44217	0.31449
2.695	10.472	0.48633	0.33591
2.7	10.5	0.43467	0.31085
2.705	10.531	0.50111	0.34307
2.71	10.53	0.4495	0.31804
2.715	10.529	0.46507	0.32559
2.72	10.449	0.43388	0.31046
2.725	10.361	0.4447	0.31571
2.73	10.291	0.47678	0.33127
2.735	10.305	0.42233	0.30486
2.74	10.404	0.33242	0.26125
2.745	10.511	0.43444	0.31074
2.75	10.497	0.54709	0.36538
2.755	10.457	0.63473	0.40789
2.76	10.499	0.56187	0.37255
2.765	10.516	0.43966	0.31327
2.77	10.507	0.39515	0.29168
2.775	10.507	0.53157	0.35785
2.78	10.506	0.4166	0.30208
2.785	10.48	0.46112	0.32368
2.79	10.523	0.54082	0.36234
2.795	10.642	0.47304	0.32946
2.8	10.648	0.42394	0.30564
2.805	10.581	0.50795	0.34639
2.81	10.532	0.51777	0.35115
2.815	10.534	0.42651	0.30689
2.82	10.516	0.4278	0.30752
2.825	10.557	0.49014	0.33775
2.83	10.592	0.54658	0.36513
2.835	10.666	0.5346	0.35932
2.84	10.629	0.57786	0.3803
2.845	10.529	0.59746	0.38981
2.85	10.465	0.59565	0.38893
2.855	10.309	0.58712	0.3848
2.86	10.182	0.52702	0.35564
2.865	10.205	0.54362	0.36369
2.87	10.293	0.45721	0.32178
2.875	10.369	0.45065	0.3186
2.88	10.321	0.38059	0.28461
2.885	10.226	0.33398	0.262
2.89	10.141	0.33231	0.26119
2.895	10.19	0.44059	0.31372
2.9	10.212	0.42017	0.30381
2.905	10.226	0.49944	0.34226
2.91	10.335	0.5008	0.34292
2.915	10.469	0.43207	0.30959
2.92	10.475	0.50586	0.34538
2.925	10.413	0.58435	0.38345
2.93	10.389	0.50563	0.34526
2.935	10.334	0.50209	0.34355
2.94	10.245	0.53918	0.36154
2.945	10.242	0.44415	0.31545
2.95	10.268	0.38788	0.28815
2.955	10.265	0.49966	0.34237
2.96	10.297	0.55501	0.36922
2.965	10.419	0.39287	0.29057
2.97	10.482	0.43571	0.31135
2.975	10.581	0.62199	0.40171
2.98	10.569	0.59027	0.38632
2.985	10.429	0.59655	0.38937
2.99	10.403	0.5698	0.37639
2.995	10.482	0.45514	0.32077
3	10.557	0.40023	0.29414
3.005	10.566	0.40501	0.29646
3.01	10.587	0.43382	0.31043
3.015	10.546	0.49092	0.33813
3.02	10.416	0.4264	0.30683
3.025	10.37	0.43998	0.31342
3.03	10.5	0.57378	0.37833
3.035	10.6	0.62844	0.40484
3.04	10.53	0.55987	0.37158
3.045	10.447	0.60019	0.39113
3.05	10.363	0.54825	0.36594
3.055	10.295	0.57087	0.37691
3.06	10.299	0.52773	0.35598
3.065	10.268	0.3997	0.29388
3.07	10.256	0.3169	0.25372
3.075	10.275	0.35768	0.2735
3.08	10.256	0.43548	0.31124
3.085	10.24	0.52182	0.35312
3.09	10.337	0.50567	0.34529
3.095	10.441	0.50096	0.343
3.1	10.519	0.56784	0.37544
3.105	10.585	0.6751	0.42747
3.11	10.599	0.71641	0.44751
3.115	10.564	0.68724	0.43336
3.12	10.523	0.60906	0.39544
3.125	10.542	0.61211	0.39692
3.13	10.529	0.47022	0.32809
3.135	10.464	0.35348	0.27146
3.14	10.427	0.34297	0.26636
3.145	10.434	0.3939	0.29107
3.15	10.45	0.31105	0.25088
3.155	10.406	0.30255	0.24676
3.16	10.363	0.4247	0.30601
3.165	10.37	0.59946	0.39078
3.17	10.412	0.5215	0.35296
3.175	10.444	0.49479	0.34001
3.18	10.461	0.5396	0.36175
3.185	10.455	0.53757	0.36076
3.19	10.433	0.58285	0.38273
3.195	10.398	0.50683	0.34585
3.2	10.392	0.47818	0.33195
3.205	10.392	0.55023	0.3669
3.21	10.41	0.61632	0.39896
3.215	10.48	0.69375	0.43652
3.22	10.489	0.66569	0.42291
3.225	10.445	0.70128	0.44017
3.23	10.412	0.63011	0.40565
3.235	10.406	0.56817	0.3756
3.24	10.356	0.58028	0.38148
3.245	10.367	0.67642	0.42811
3.25	10.427	0.51442	0.34953
3.255	10.486	0.49932	0.3422
3.26	10.455	0.5429	0.36335
3.265	10.387	0.55041	0.36699
3.27	10.364	0.50175	0.34339
3.275	10.446	0.54476	0.36425
3.28	10.53	0.60699	0.39444
3.285	10.513	0.63009	0.40564
3.29	10.471	0.53185	0.35799
3.295	10.444	0.49008	0.33772
3.3	10.484	0.45559	0.32099
3.305	10.527	0.49239	0.33884
3.31	10.455	0.50848	0.34665
3.315	10.383	0.51224	0.34847
3.32	10.394	0.45314	0.31981
3.325	10.446	0.38307	0.28582
3.33	10.503	0.40661	0.29723
3.335	10.542	0.51392	0.34929
3.34	10.566	0.55172	0.36762
3.345	10.563	0.58937	0.38589
3.35	10.496	0.5215	0.35296
3.355	10.449	0.61254	0.39713
3.36	10.489	0.69376	0.43652
3.365	10.539	0.7184	0.44848
3.37	10.565	0.62734	0.40431
3.375	10.571	0.53871	0.36131
3.38	10.513	0.42462	0.30597
3.385	10.47	0.42336	0.30536
3.39	10.468	0.4373	0.31212
3.395	10.446	0.42708	0.30717
3.4	10.441	0.43948	0.31318
3.405	10.449	0.47348	0.32967
3.41	10.455	0.52392	0.35414
3.415	10.473	0.59705	0.38961
3.42	10.458	0.58996	0.38617
3.425	10.428	0.5629	0.37305
3.43	10.445	0.54738	0.36552
3.435	10.53	0.5294	0.3568
3.44	10.537	0.48197	0.33379
3.445	10.504	0.45001	0.31829
3.45	10.441	0.43745	0.31219
3.455	10.471	0.51975	0.35211
3.46	10.521	0.64545	0.41309
3.465	10.559	0.6244	0.40288
3.47	10.521	0.55636	0.36987
3.475	10.443	0.47334	0.3296
3.48	10.398	0.44998	0.31827
3.485	10.466	0.53628	0.36013
3.49	10.523	0.53788	0.36091
3.495	10.509	0.55813	0.37073
3.5	10.459	0.56312	0.37315
3.505	10.492	0.60753	0.3947
3.51	10.6	0.53651	0.36025
3.515	10.634	0.43479	0.3109
3.52	10.632	0.3831	0.28583
3.525	10.655	0.47029	0.32813
3.53	10.652	0.49462	0.33993
3.535	10.623	0.49847	0.3418
3.54	10.628	0.47308	0.32948
3.545	10.561	0.44085	0.31384
3.55	10.453	0.49202	0.33867
3.555	10.376	0.54726	0.36546
3.56	10.369	0.56101	0.37213
3.565	10.384	0.46703	0.32654
3.57	10.475	0.5286	0.35641
3.575	10.542	0.67392	0.4269
3.58	10.496	0.56552	0.37432
3.585	10.506	0.48803	0.33673
3.59	10.49	0.43044	0.3088
3.595	10.421	0.55627	0.36983
3.6	10.407	0.51701	0.35079
3.605	10.438	0.42398	0.30566
3.61	10.467	0.4272	0.30722
3.615	10.511	0.49001	0.33769
3.62	10.506	0.41416	0.3009
3.625	10.424	0.46534	0.32572
3.63	10.28	0.55472	0.36908
3.635	10.197	0.53284	0.35846
3.64	10.27	0.4658	0.32595
3.645	10.351	0.5558	0.3696
3.65	10.456	0.69796	0.43856
3.655	10.601	0.72906	0.45364
3.66	10.656	0.65659	0.4185
3.665	10.619	0.57264	0.37777
3.67	10.606	0.45354	0.32
3.675	10.603	0.43716	0.31205
3.68	10.565	0.43976	0.31331
3.685	10.527	0.48915	0.33727
3.69	10.536	0.42708	0.30716
3.695	10.505	0.43564	0.31132
3.7	10.473	0.49508	0.34015
3.705	10.428	0.64885	0.41474
3.71	10.454	0.59431	0.38828
3.715	10.533	0.41135	0.29954
3.72	10.625	0.48684	0.33615
3.725	10.631	0.5639	0.37353
3.73	10.602	0.55224	0.36788
3.735	10.55	0.51586	0.35023
3.74	10.498	0.50205	0.34353
