# Region            : cellZone slabA
# Cells             : 30
# Volume            : 6.972459419800e-09
# Time              	volAverage(p)
820                 	8.273031924488e+03
821                 	8.273031924559e+03
822                 	8.273031924486e+03
823                 	8.273031924408e+03
824                 	8.273031924465e+03
825                 	8.273031924587e+03
826                 	8.273031924484e+03
827                 	8.273031924448e+03
828                 	8.273031924440e+03
829                 	8.273031924533e+03
830                 	8.273031924599e+03
831                 	8.273031924536e+03
832                 	8.273031924373e+03
833                 	8.273031924383e+03
834                 	8.273031924527e+03
835                 	8.273031924609e+03
836                 	8.273031924541e+03
837                 	8.273031924418e+03
838                 	8.273031924383e+03
839                 	8.273031924482e+03
840                 	8.273031924622e+03
841                 	8.273031924480e+03
842                 	8.273031924455e+03
843                 	8.273031924491e+03
844                 	8.273031924512e+03
845                 	8.273031924571e+03
846                 	8.273031924500e+03
847                 	8.273031924440e+03
848                 	8.273031924435e+03
849                 	8.273031924458e+03
850                 	8.273031924484e+03
851                 	8.273031924570e+03
852                 	8.273031924516e+03
853                 	8.273031924508e+03
854                 	8.273031924362e+03
855                 	8.273031924432e+03
856                 	8.273031924520e+03
857                 	8.273031924575e+03
858                 	8.273031924594e+03
859                 	8.273031924511e+03
860                 	8.273031924508e+03
861                 	8.273031924454e+03
862                 	8.273031924407e+03
863                 	8.273031924478e+03
864                 	8.273031924528e+03
865                 	8.273031924511e+03
866                 	8.273031924483e+03
867                 	8.273031924407e+03
868                 	8.273031924481e+03
869                 	8.273031924504e+03
870                 	8.273031924500e+03
871                 	8.273031924563e+03
872                 	8.273031924528e+03
873                 	8.273031924416e+03
874                 	8.273031924468e+03
875                 	8.273031924475e+03
876                 	8.273031924576e+03
877                 	8.273031924515e+03
878                 	8.273031924470e+03
879                 	8.273031924436e+03
880                 	8.273031924467e+03
881                 	8.273031924465e+03
882                 	8.273031924543e+03
883                 	8.273031924488e+03
884                 	8.273031924465e+03
885                 	8.273031924514e+03
886                 	8.273031924537e+03
887                 	8.273031924498e+03
888                 	8.273031924457e+03
889                 	8.273031924488e+03
890                 	8.273031924582e+03
891                 	8.273031924503e+03
892                 	8.273031924410e+03
893                 	8.273031924479e+03
894                 	8.273031924491e+03
895                 	8.273031924510e+03
896                 	8.273031924542e+03
897                 	8.273031924489e+03
898                 	8.273031924445e+03
899                 	8.273031924516e+03
900                 	8.273031924451e+03
901                 	8.273031924477e+03
902                 	8.273031924427e+03
903                 	8.273031924502e+03
904                 	8.273031924598e+03
905                 	8.273031924530e+03
906                 	8.273031924437e+03
907                 	8.273031924377e+03
908                 	8.273031924532e+03
909                 	8.273031924611e+03
910                 	8.273031924523e+03
911                 	8.273031924431e+03
912                 	8.273031924431e+03
913                 	8.273031924489e+03
914                 	8.273031924481e+03
915                 	8.273031924465e+03
916                 	8.273031924561e+03
917                 	8.273031924579e+03
918                 	8.273031924448e+03
919                 	8.273031924405e+03
920                 	8.273031924441e+03
921                 	8.273031924583e+03
922                 	8.273031924542e+03
923                 	8.273031924452e+03
924                 	8.273031924383e+03
925                 	8.273031924483e+03
926                 	8.273031924579e+03
927                 	8.273031924567e+03
928                 	8.273031924520e+03
929                 	8.273031924430e+03
930                 	8.273031924434e+03
931                 	8.273031924443e+03
932                 	8.273031924536e+03
933                 	8.273031924593e+03
934                 	8.273031924560e+03
935                 	8.273031924456e+03
936                 	8.273031924429e+03
937                 	8.273031924425e+03
938                 	8.273031924475e+03
939                 	8.273031924473e+03
940                 	8.273031924555e+03
941                 	8.273031924519e+03
942                 	8.273031924508e+03
943                 	8.273031924463e+03
944                 	8.273031924401e+03
945                 	8.273031924528e+03
946                 	8.273031924550e+03
947                 	8.273031924525e+03
948                 	8.273031924455e+03
949                 	8.273031924400e+03
950                 	8.273031924490e+03
951                 	8.273031924562e+03
952                 	8.273031924525e+03
953                 	8.273031924472e+03
954                 	8.273031924459e+03
955                 	8.273031924510e+03
956                 	8.273031924514e+03
957                 	8.273031924484e+03
958                 	8.273031924516e+03
959                 	8.273031924496e+03
960                 	8.273031924492e+03
961                 	8.273031924531e+03
962                 	8.273031924488e+03
963                 	8.273031924360e+03
964                 	8.273031924381e+03
965                 	8.273031924524e+03
966                 	8.273031924594e+03
967                 	8.273031924589e+03
968                 	8.273031924526e+03
969                 	8.273031924415e+03
970                 	8.273031924410e+03
971                 	8.273031924484e+03
972                 	8.273031924512e+03
973                 	8.273031924555e+03
974                 	8.273031924494e+03
975                 	8.273031924460e+03
976                 	8.273031924467e+03
977                 	8.273031924515e+03
978                 	8.273031924559e+03
979                 	8.273031924487e+03
980                 	8.273031924420e+03
981                 	8.273031924398e+03
982                 	8.273031924570e+03
983                 	8.273031924584e+03
984                 	8.273031924571e+03
985                 	8.273031924414e+03
