power_W,airspeed_m_per_s,iteration,solid_peak_temperature_degC,solid_minimum_temperature_degC
155,10,8500,59.968542,57.302937
155,10,8600,59.968542,57.302937
155,10,8700,59.968542,57.302937
155,10,8800,59.968542,57.302937
155,10,8900,59.968542,57.302937
155,10,9000,59.968542,57.302937
155,10,9100,59.968542,57.302937
155,10,9200,59.968542,57.302937
155,10,9300,59.968542,57.302937
155,10,9400,59.968542,57.302937
155,10,9500,59.968542,57.302937
155,10,9600,59.968542,57.302937
155,10,9700,59.968542,57.302937
155,10,9800,59.968542,57.302937
155,10,9900,59.968542,57.302937
155,10,10000,59.968542,57.302937
155,20,100,35.717191,34.517582
155,20,200,39.844763,38.052176
155,20,300,41.568113,39.474644
155,20,400,42.071238,39.888568
155,20,500,42.250285,40.032769
155,20,600,42.331247,40.096801
155,20,700,42.367415,40.125885
155,20,800,42.384273,40.139631
155,20,900,42.391722,40.145786
155,20,1000,42.395164,40.148655
155,20,1100,42.396680,40.149904
155,20,1200,42.397098,40.150231
155,20,1300,42.397224,40.150324
155,20,1400,42.397239,40.150334
155,20,1500,42.397252,40.150343
155,20,1600,42.397267,40.150354
155,20,1700,42.397283,40.150366
155,20,1800,42.397301,40.150380
155,20,1900,42.397306,40.150384
155,20,2000,42.397306,40.150384
155,20,2100,42.397306,40.150384
155,20,2200,42.397306,40.150384
155,20,2300,42.397306,40.150384
155,20,2400,42.397306,40.150384
155,20,2500,42.397306,40.150384
155,20,2600,42.397306,40.150384
155,20,2700,42.397306,40.150384
155,20,2800,42.397306,40.150384
155,20,2900,42.397306,40.150384
155,20,3000,42.397306,40.150384
155,20,3100,42.397306,40.150384
155,20,3200,42.397306,40.150384
155,20,3300,42.397306,40.150384
155,20,3400,42.397306,40.150384
155,20,3500,42.397306,40.150384
155,20,3600,42.397306,40.150384
155,20,3700,42.397306,40.150384
155,20,3800,42.397306,40.150384
155,20,3900,42.397306,40.150384
155,20,4000,42.397306,40.150384
155,20,4100,42.397306,40.150384
155,20,4200,42.397306,40.150384
155,20,4300,42.397306,40.150384
155,20,4400,42.397306,40.150384
155,20,4500,42.397306,40.150384
155,20,4600,42.397306,40.150384
155,20,4700,42.397306,40.150384
155,20,4800,42.397306,40.150384
155,20,4900,42.397306,40.150384
155,20,5000,42.397306,40.150384
155,20,5100,42.397306,40.150384
155,20,5200,42.397306,40.150384
155,20,5300,42.397306,40.150384
155,20,5400,42.397306,40.150384
155,20,5500,42.397306,40.150384
155,20,5600,42.397306,40.150384
155,20,5700,42.397306,40.150384
155,20,5800,42.397306,40.150384
155,20,5900,42.397306,40.150384
155,20,6000,42.397306,40.150384
155,20,6100,42.397306,40.150384
155,20,6200,42.397306,40.150384
155,20,6300,42.397306,40.150384
155,20,6400,42.397306,40.150384
155,20,6500,42.397306,40.150384
155,20,6600,42.397306,40.150384
155,20,6700,42.397306,40.150384
155,20,6800,42.397306,40.150384
155,20,6900,42.397306,40.150384
155,20,7000,42.397306,40.150384
155,20,7100,42.397306,40.150384
155,20,7200,42.397306,40.150384
155,20,7300,42.397306,40.150384
155,20,7400,42.397306,40.150384
155,20,7500,42.397306,40.150384
155,20,7600,42.397306,40.150384
155,20,7700,42.397306,40.150384
155,20,7800,42.397306,40.150384
155,20,7900,42.397306,40.150384
155,20,8000,42.397306,40.150384
155,20,8100,42.397306,40.150384
155,20,8200,42.397306,40.150384
155,20,8300,42.397306,40.150384
155,20,8400,42.397306,40.150384
155,20,8500,42.397306,40.150384
155,20,8600,42.397306,40.150384
155,20,8700,42.397306,40.150384
155,20,8800,42.397306,40.150384
155,20,8900,42.397306,40.150384
155,20,9000,42.397306,40.150384
155,20,9100,42.397306,40.150384
155,20,9200,42.397306,40.150384
155,20,9300,42.397306,40.150384
155,20,9400,42.397306,40.150384
155,20,9500,42.397306,40.150384
155,20,9600,42.397306,40.150384
155,20,9700,42.397306,40.150384
155,20,9800,42.397306,40.150384
155,20,9900,42.397306,40.150384
155,20,10000,42.397306,40.150384
155,30,100,31.267789,30.135313
155,30,200,33.908457,32.275370
155,30,300,34.992992,33.091926
155,30,400,35.286824,33.326690
155,30,500,35.408840,33.425356
155,30,600,35.473715,33.474300
155,30,700,35.500363,33.494112
155,30,800,35.510575,33.501815
155,30,900,35.515356,33.505493
155,30,1000,35.517295,33.506999
155,30,1100,35.517909,33.507486
155,30,1200,35.518040,33.507577
155,30,1300,35.518061,33.507589
155,30,1400,35.518082,33.507601
155,30,1500,35.518103,33.507614
155,30,1600,35.518124,33.507627
155,30,1700,35.518146,33.507643
155,30,1800,35.518168,33.507659
155,30,1900,35.518170,33.507660
155,30,2000,35.518170,33.507660
155,30,2100,35.518170,33.507660
155,30,2200,35.518170,33.507660
155,30,2300,35.518170,33.507660
155,30,2400,35.518170,33.507660
155,30,2500,35.518170,33.507660
155,30,2600,35.518170,33.507660
155,30,2700,35.518170,33.507660
155,30,2800,35.518170,33.507660
155,30,2900,35.518170,33.507660
155,30,3000,35.518170,33.507660
155,30,3100,35.518170,33.507660
155,30,3200,35.518170,33.507660
155,30,3300,35.518170,33.507660
155,30,3400,35.518170,33.507660
155,30,3500,35.518170,33.507660
155,30,3600,35.518170,33.507660
155,30,3700,35.518170,33.507660
155,30,3800,35.518170,33.507660
155,30,3900,35.518170,33.507660
155,30,4000,35.518170,33.507660
155,30,4100,35.518170,33.507660
155,30,4200,35.518170,33.507660
155,30,4300,35.518170,33.507660
155,30,4400,35.518170,33.507660
155,30,4500,35.518170,33.507660
155,30,4600,35.518170,33.507660
155,30,4700,35.518170,33.507660
155,30,4800,35.518170,33.507660
155,30,4900,35.518170,33.507660
155,30,5000,35.518170,33.507660
155,30,5100,35.518170,33.507660
155,30,5200,35.518170,33.507660
155,30,5300,35.518170,33.507660
155,30,5400,35.518170,33.507660
155,30,5500,35.518170,33.507660
155,30,5600,35.518170,33.507660
155,30,5700,35.518170,33.507660
155,30,5800,35.518170,33.507660
155,30,5900,35.518170,33.507660
155,30,6000,35.518170,33.507660
155,30,6100,35.518170,33.507660
155,30,6200,35.518170,33.507660
155,30,6300,35.518170,33.507660
155,30,6400,35.518170,33.507660
155,30,6500,35.518170,33.507660
155,30,6600,35.518170,33.507660
155,30,6700,35.518170,33.507660
155,30,6800,35.518170,33.507660
155,30,6900,35.518170,33.507660
155,30,7000,35.518170,33.507660
155,30,7100,35.518170,33.507660
155,30,7200,35.518170,33.507660
155,30,7300,35.518170,33.507660
155,30,7400,35.518170,33.507660
155,30,7500,35.518170,33.507660
155,30,7600,35.518170,33.507660
155,30,7700,35.518170,33.507660
155,30,7800,35.518170,33.507660
155,30,7900,35.518170,33.507660
155,30,8000,35.518170,33.507660
155,30,8100,35.518170,33.507660
155,30,8200,35.518170,33.507660
155,30,8300,35.518170,33.507660
155,30,8400,35.518170,33.507660
155,30,8500,35.518170,33.507660
155,30,8600,35.518170,33.507660
155,30,8700,35.518170,33.507660
155,30,8800,35.518170,33.507660
155,30,8900,35.518170,33.507660
155,30,9000,35.518170,33.507660
155,30,9100,35.518170,33.507660
155,30,9200,35.518170,33.507660
155,30,9300,35.518170,33.507660
155,30,9400,35.518170,33.507660
155,30,9500,35.518170,33.507660
155,30,9600,35.518170,33.507660
155,30,9700,35.518170,33.507660
155,30,9800,35.518170,33.507660
155,30,9900,35.518170,33.507660
155,30,10000,35.518170,33.507660
155,40,100,28.388203,27.325120
155,40,200,30.378342,28.842241
155,40,300,31.166336,29.432786
155,40,400,31.434901,29.651362
155,40,500,31.563818,29.756343
155,40,600,31.639084,29.810060
155,40,700,31.666359,29.828738
155,40,800,31.676017,29.835500
155,40,900,31.680211,29.838558
155,40,1000,31.681616,29.839644
155,40,1100,31.682338,29.840197
155,40,1200,31.682359,29.840208
155,40,1300,31.682383,29.840220
155,40,1400,31.682407,29.840233
155,40,1500,31.682430,29.840247
155,40,1600,31.682453,29.840262
155,40,1700,31.682478,29.840278
155,40,1800,31.682494,29.840289
155,40,1900,31.682494,29.840289
155,40,2000,31.682494,29.840289
155,40,2100,31.682494,29.840289
155,40,2200,31.682494,29.840289
155,40,2300,31.682494,29.840289
155,40,2400,31.682494,29.840289
155,40,2500,31.682494,29.840289
155,40,2600,31.682494,29.840289
155,40,2700,31.682494,29.840289
155,40,2800,31.682494,29.840289
