# Region            : cellZone gateZone
# Cells             : 1005
# Volume            : 1.730603759569e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
0.00021402524       	2.417385574211e+00	3.077332191817e+02	1.430085216467e+00	1.300519282203e+05
0.00021508783       	2.415829756267e+00	3.080857524545e+02	1.434096500510e+00	1.306049401648e+05
0.00021615197       	2.414262564076e+00	3.084407038674e+02	1.438140448063e+00	1.311625978647e+05
0.00021721653       	2.412685540564e+00	3.087971500491e+02	1.442204637070e+00	1.317231471996e+05
0.00021828012       	2.411102157715e+00	3.091539319910e+02	1.446272858787e+00	1.322843008076e+05
0.00021934294       	2.409514750176e+00	3.095101587379e+02	1.450334064162e+00	1.328443608908e+05
0.00022040561       	2.407926597020e+00	3.098663073240e+02	1.454394572882e+00	1.334042608809e+05
0.00022146757       	2.406339927245e+00	3.102225582866e+02	1.458456033591e+00	1.339643504837e+05
0.00022253015       	2.404752614635e+00	3.105791931378e+02	1.462520175675e+00	1.345248795846e+05
0.00022359429       	2.403163487707e+00	3.109364815843e+02	1.466590933159e+00	1.350863674942e+05
0.00022466023       	2.401571338394e+00	3.112944918440e+02	1.470669835970e+00	1.356490093911e+05
0.00022572525       	2.399980239509e+00	3.116524876664e+02	1.474748408903e+00	1.362116974840e+05
0.00022678942       	2.398389689798e+00	3.120104336124e+02	1.478826962740e+00	1.367744451594e+05
0.00022785332       	2.396798779873e+00	3.123685071858e+02	1.482907271163e+00	1.373374650494e+05
0.00022891651       	2.395207520704e+00	3.127267769022e+02	1.486988739002e+00	1.379007366339e+05
0.00022997982       	2.393614019610e+00	3.130853940630e+02	1.491071850704e+00	1.384642908040e+05
0.00023104484       	2.392016131274e+00	3.134450790966e+02	1.495165437213e+00	1.390293950189e+05
0.00023211178       	2.390415198314e+00	3.138058041074e+02	1.499269927037e+00	1.395961235350e+05
0.00023317812       	2.388815758496e+00	3.141665415134e+02	1.503375724898e+00	1.401631048957e+05
0.00023424346       	2.387218743229e+00	3.145269565901e+02	1.507479908979e+00	1.407299139385e+05
0.00023530819       	2.385623248067e+00	3.148871154110e+02	1.511584164449e+00	1.412967436034e+05
0.00023637244       	2.384027804826e+00	3.152472035805e+02	1.515689454274e+00	1.418637340941e+05
0.00023743652       	2.382429547817e+00	3.156075092336e+02	1.519797937810e+00	1.424311836371e+05
0.00023850217       	2.380826096449e+00	3.159687256854e+02	1.523916345600e+00	1.430000447249e+05
0.00023956931       	2.379218220134e+00	3.163309552211e+02	1.528047008058e+00	1.435706280469e+05
0.00024063687       	2.377609375321e+00	3.166933990630e+02	1.532180965361e+00	1.441416351661e+05
0.00024170349       	2.376003341954e+00	3.170551891803e+02	1.536309383508e+00	1.447117917961e+05
0.00024276953       	2.374401204299e+00	3.174163623682e+02	1.540435017455e+00	1.452814492804e+05
0.00024383543       	2.372801821188e+00	3.177771349572e+02	1.544560563303e+00	1.458510106171e+05
0.00024490086       	2.371204391583e+00	3.181375528524e+02	1.548684120021e+00	1.464202659975e+05
0.00024596722       	2.369605248301e+00	3.184982419756e+02	1.552810689991e+00	1.469899004107e+05
0.00024703492       	2.368001939901e+00	3.188595430766e+02	1.556940905364e+00	1.475600544374e+05
0.00024810386       	2.366393607350e+00	3.192215743233e+02	1.561074721776e+00	1.481307531543e+05
0.0002491719        	2.364783554632e+00	3.195836815397e+02	1.565204623063e+00	1.487009977804e+05
0.00025023919       	2.363173931970e+00	3.199457458808e+02	1.569331128568e+00	1.492708735979e+05
0.00025130637       	2.361566107682e+00	3.203076940745e+02	1.573456123824e+00	1.498406041550e+05
0.0002523727        	2.359961724287e+00	3.206691263726e+02	1.577577080984e+00	1.504097963444e+05
0.00025343925       	2.358358237847e+00	3.210304004396e+02	1.581697544528e+00	1.509789493690e+05
0.00025450739       	2.356752626539e+00	3.213919379376e+02	1.585821386899e+00	1.515485464547e+05
0.00025557718       	2.355143435752e+00	3.217540258566e+02	1.589950056167e+00	1.521187992013e+05
0.00025664655       	2.353533096976e+00	3.221161472068e+02	1.594075047750e+00	1.526885551262e+05
0.00025771506       	2.351922708321e+00	3.224781422567e+02	1.598195173006e+00	1.532576146621e+05
0.00025878322       	2.350313135071e+00	3.228401299551e+02	1.602313749005e+00	1.538264490447e+05
0.0002598508        	2.348706590178e+00	3.232017422606e+02	1.606430693323e+00	1.543949898732e+05
0.00026091838       	2.347103591620e+00	3.235628544369e+02	1.610547294832e+00	1.549633543878e+05
0.00026198765       	2.345501378397e+00	3.239239922854e+02	1.614671004408e+00	1.555325642872e+05
0.0002630583        	2.343898688584e+00	3.242853278869e+02	1.618801992145e+00	1.561027081742e+05
0.00026412885       	2.342295803885e+00	3.246467149535e+02	1.622935633691e+00	1.566731772282e+05
0.00026519852       	2.340691905486e+00	3.250083065320e+02	1.627070340391e+00	1.572438241491e+05
0.00026626775       	2.339085506790e+00	3.253704243121e+02	1.631206575855e+00	1.578147953137e+05
0.00026733673       	2.337476453594e+00	3.257329995035e+02	1.635342238412e+00	1.583858275612e+05
0.00026840533       	2.335866659226e+00	3.260956599881e+02	1.639475614879e+00	1.589566298929e+05
0.00026947504       	2.334256429565e+00	3.264585867652e+02	1.643612130844e+00	1.595279321295e+05
0.0002705458        	2.332646411519e+00	3.268215898307e+02	1.647752577888e+00	1.600998114361e+05
0.00027161771       	2.331036242765e+00	3.271848047575e+02	1.651898657566e+00	1.606725173326e+05
0.00027268878       	2.329427229516e+00	3.275476738725e+02	1.656041526678e+00	1.612448140935e+05
0.0002737593        	2.327816424742e+00	3.279105030225e+02	1.660181166352e+00	1.618166849311e+05
0.00027482976       	2.326202292900e+00	3.282736057609e+02	1.664318472640e+00	1.623882484344e+05
0.00027589951       	2.324586769879e+00	3.286367609745e+02	1.668451452516e+00	1.629591936325e+05
