# Region            : cellZone slabB
# Cells             : 30
# Volume            : 6.972459419800e-09
# Time              	volAverage(p)
409                 	1.654606384890e+03
410                 	1.654606384889e+03
411                 	1.654606384893e+03
412                 	1.654606384907e+03
413                 	1.654606384913e+03
414                 	1.654606384890e+03
415                 	1.654606384892e+03
416                 	1.654606384898e+03
417                 	1.654606384896e+03
418                 	1.654606384911e+03
419                 	1.654606384903e+03
420                 	1.654606384890e+03
421                 	1.654606384889e+03
422                 	1.654606384901e+03
423                 	1.654606384914e+03
424                 	1.654606384906e+03
425                 	1.654606384887e+03
426                 	1.654606384884e+03
427                 	1.654606384890e+03
428                 	1.654606384911e+03
429                 	1.654606384912e+03
430                 	1.654606384898e+03
431                 	1.654606384901e+03
432                 	1.654606384891e+03
433                 	1.654606384886e+03
434                 	1.654606384906e+03
435                 	1.654606384906e+03
436                 	1.654606384905e+03
437                 	1.654606384885e+03
438                 	1.654606384895e+03
439                 	1.654606384898e+03
440                 	1.654606384891e+03
441                 	1.654606384895e+03
442                 	1.654606384901e+03
443                 	1.654606384899e+03
444                 	1.654606384909e+03
445                 	1.654606384905e+03
446                 	1.654606384905e+03
447                 	1.654606384896e+03
448                 	1.654606384883e+03
449                 	1.654606384899e+03
450                 	1.654606384913e+03
451                 	1.654606384888e+03
452                 	1.654606384894e+03
453                 	1.654606384900e+03
454                 	1.654606384893e+03
455                 	1.654606384889e+03
456                 	1.654606384915e+03
457                 	1.654606384916e+03
458                 	1.654606384894e+03
459                 	1.654606384883e+03
460                 	1.654606384869e+03
461                 	1.654606384902e+03
462                 	1.654606384929e+03
463                 	1.654606384912e+03
464                 	1.654606384878e+03
465                 	1.654606384887e+03
466                 	1.654606384901e+03
467                 	1.654606384915e+03
468                 	1.654606384902e+03
469                 	1.654606384893e+03
470                 	1.654606384897e+03
471                 	1.654606384898e+03
472                 	1.654606384891e+03
473                 	1.654606384890e+03
474                 	1.654606384896e+03
475                 	1.654606384909e+03
476                 	1.654606384915e+03
477                 	1.654606384897e+03
478                 	1.654606384886e+03
479                 	1.654606384882e+03
