mesh_cell_index,x_min_m,x_max_m,y_min_m,y_max_m,module_cell,T_K_at_t_0s,T_K_at_t_30s,T_K_at_t_60s,T_K_at_t_120s,T_K_at_t_300s,T_K_at_t_900s
492,0.060000000,0.065000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
493,0.065000000,0.070000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
494,0.070000000,0.075000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
495,0.075000000,0.080000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
496,0.080000000,0.085000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
497,0.085000000,0.090000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
498,0.090000000,0.095000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
499,0.095000000,0.100000000,0.132000000,0.137000000,5,293.000000000,293.057390679,293.110799555,293.130710102,293.184683800,293.295253117
500,0.000000000,0.005000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
501,0.005000000,0.010000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
502,0.010000000,0.015000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
503,0.015000000,0.020000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
504,0.020000000,0.025000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
505,0.025000000,0.030000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
506,0.030000000,0.035000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
507,0.035000000,0.040000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
508,0.040000000,0.045000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
509,0.045000000,0.050000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
510,0.050000000,0.055000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
511,0.055000000,0.060000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
512,0.060000000,0.065000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
513,0.065000000,0.070000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
514,0.070000000,0.075000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
515,0.075000000,0.080000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
516,0.080000000,0.085000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
517,0.085000000,0.090000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
518,0.090000000,0.095000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
519,0.095000000,0.100000000,0.137000000,0.142000000,5,293.000000000,293.059206980,293.115482288,293.137798273,293.194996991,293.312051591
520,0.000000000,0.005000000,0.142000000,0.147000000,5,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
521,0.005000000,0.010000000,0.142000000,0.147000000,5,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
522,0.010000000,0.015000000,0.142000000,0.147000000,5,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
523,0.015000000,0.020000000,0.142000000,0.147000000,5,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
524,0.020000000,0.025000000,0.142000000,0.147000000,5,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
525,0.025000000,0.030000000,0.142000000,0.147000000,5,293.000000000,293.059746058,293.117325007,293.141207525,293.200071123,293.320413272
