# DIGITIZED from Wibron, Ljung and Lundstrom 2018, Energies 11(3):644, CC-BY.
# Source PDF sha256 4de4798ed5eed60feda123c7a2398674a6a9177f44906175847d90f5227d7b77
# Produced by docs/campaigns/F14-cooling-ladder/digitize_wibron2018.py --write
# NOT TABULATED IN THE PAPER.  Every value below is a figure reading.
# Digitisation increments, derived by the controls printed by the
# command above and restated here so no reader can quote a value
# finer than it was measured (L-28):
#   temperature  +-0.03 K      velocity  +-0.007 m/s      height  +-0.005 m
# More decimals are carried below only so the file round-trips; the
# graded value is the one at the increment.
# Figure 8a,b: computed velocity profiles at L1 and L2 with the
# comparison line moved 5, 10 and 15 cm toward the hot-aisle centre.
# ***NOT A REFERENCE VALUE.***  Figure 8's experiment markers are
# Figure 7a,b's markers (control C6 measures the identity), so this
# figure adds no measurement.  What it adds is the position
# sensitivity dv/dx that the K2c-A L1/L2/L4 row's mandatory +-0.15 m
# sweep is read against.  The turbulence model behind these curves is
# NOT STATED by the paper and control C9 does not identify it.
# Curve velocities carried at the +-0.007 m/s marker-placement bound
# of control C6, measured on this very figure; heights +-0.005 m.
# loc  shift_cm  height_m  velocity_mps
L1       5    2.3483    0.4748
L1       5    2.3546    0.4790
L1       5    2.3609    0.4832
L1       5    2.3672    0.4875
L1       5    2.3735    0.4917
L1       5    2.3799    0.4959
L1       5    2.3862    0.4997
L1       5    2.3925    0.5034
L1       5    2.3988    0.5058
L1       5    2.4051    0.5065
L1       5    2.4114    0.5061
L1       5    2.4177    0.5057
L1       5    2.4241    0.5053
L1       5    2.4304    0.5049
L1       5    2.4367    0.5046
L1       5    2.4430    0.5075
L1       5    2.4493    0.5115
L1       5    2.4556    0.5156
L1       5    2.4619    0.5196
L1       5    2.4682    0.5237
L1       5    2.4746    0.5279
L1       5    2.4809    0.5329
L1       5    2.4872    0.5383
L1       5    2.4935    0.5437
L1       5    2.4998    0.5491
L1       5    2.5061    0.5545
L1       5    2.5124    0.5600
L1       5    2.5187    0.5654
L1       5    2.5251    0.5709
L1       5    2.5314    0.5761
L1       5    2.5377    0.5806
L1       5    2.5440    0.5866
L1       5    2.5503    0.5926
L1       5    2.5566    0.5985
L1       5    2.5629    0.6038
L1       5    2.5692    0.6092
L1       5    2.5756    0.6145
L1       5    2.5819    0.6199
L1       5    2.5882    0.6254
L1       5    2.5945    0.6308
L1       5    2.6008    0.6362
L1       5    2.6071    0.6430
L1       5    2.6134    0.6522
L1       5    2.6197    0.6615
L1       5    2.6261    0.6708
L1       5    2.6324    0.6802
L1       5    2.6387    0.6897
L1       5    2.6450    0.6992
L1       5    2.6513    0.7088
L1       5    2.6576    0.7158
L1       5    2.6639    0.7151
L1       5    2.6702    0.7159
L1       5    2.6765    0.7202
L1       5    2.6829    0.7282
L1       5    2.6892    0.7377
L1       5    2.6955    0.7474
L1       5    2.7018    0.7572
L1       5    2.7081    0.7674
L1       5    2.7144    0.7782
L1       5    2.7207    0.7891
L1       5    2.7270    0.8001
L1       5    2.7334    0.8112
L1       5    2.7397    0.8184
L1       5    2.7460    0.8238
L1       5    2.7523    0.8292
L1       5    2.7586    0.8349
L1       5    2.7649    0.8408
L1       5    2.7712    0.8468
L1       5    2.7775    0.8563
L1       5    2.7839    0.8660
L1       5    2.7902    0.8759
L1       5    2.7965    0.8860
L1       5    2.8028    0.8963
L1       5    2.8091    0.9099
L1       5    2.8154    0.9203
L1       5    2.8217    0.9279
L1       5    2.8281    0.9366
L1       5    2.8344    0.9456
L1       5    2.8407    0.9548
L1       5    2.8470    0.9643
L1       5    2.8533    0.9704
L1       5    2.8596    0.9727
L1       5    2.8659    0.9753
L1       5    2.8722    0.9780
L1       5    2.8786    0.9772
L1       5    2.8849    0.9745
L1       5    2.8912    0.9727
L1       5    2.8975    0.9749
L1       5    2.9038    0.9774
L1       5    2.9101    0.9801
L1       5    2.9164    0.9850
L1       5    2.9227    0.9905
L1       5    2.9291    0.9962
L1       5    2.9354    1.0022
L1       5    2.9417    1.0086
L1       5    2.9480    1.0080
L1       5    2.9543    1.0076
L1       5    2.9606    1.0091
L1       5    2.9669    1.0111
L1       5    2.9732    1.0134
L1       5    2.9796    1.0159
L1       5    2.9859    1.0187
L1       5    2.9922    1.0216
L1       5    2.9985    1.0202
L1       5    3.0048    1.0155
L1       5    3.0111    1.0110
L1       5    3.0174    1.0066
L1       5    3.0237    1.0026
L1       5    3.0301    0.9990
L1       5    3.0364    0.9947
L1       5    3.0427    0.9862
L1       5    3.0490    0.9789
L1       5    3.0553    0.9721
L1       5    3.0616    0.9659
L1       5    3.0679    0.9601
L1       5    3.0742    0.9549
L1       5    3.0806    0.9485
L1       5    3.0869    0.9420
L1       5    3.0932    0.9359
L1       5    3.0995    0.9267
L1       5    3.1058    0.9147
L1       5    3.1121    0.9036
L1       5    3.1184    0.8872
L1       5    3.1247    0.8701
L1       5    3.1311    0.8494
L1       5    3.1374    0.8266
L1       5    3.1437    0.5168
L1       5    3.1500    0.0005
L1      10   -0.0000    0.0000
L1      10    0.0063    0.2714
L1      10    0.0126    0.3937
L1      10    0.0189    0.3792
L1      10    0.0252    0.3614
L1      10    0.0316    0.3433
L1      10    0.0379    0.3256
L1      10    0.0442    0.3086
L1      10    0.0505    0.2936
L1      10    0.0568    0.2816
L1      10    0.0631    0.2707
