iteration,Y'(-12),Y'(-8),Y'(-4),Y'(+0),Y'(+4),Y'(+8),Y'(+12),N'(-12),N'(-8),N'(-4),N'(+0),N'(+4),N'(+8),N'(+12)
1775,-0.00019468288479937226,-0.00018185529057483657,-9.825021262539402e-05,-2.1305632954474505e-08,9.82538897253557e-05,0.00018194936055436503,0.00019453471826267064,0.0005477446683087188,0.00032192136807882975,0.0001549235595251645,9.921364368821042e-09,-0.00015492851621017053,-0.0003219398299102146,-0.0005477407473763053
1776,-0.00019468576005079625,-0.00018185622828597196,-9.824962726775469e-05,-2.0506492324001157e-08,9.825462768740845e-05,0.00018194888373823296,0.0001945336702070784,0.0005477444563907986,0.0003219211813182142,0.00015492339721892887,1.024448236664051e-08,-0.00015492825317760166,-0.0003219398106029082,-0.0005477404770046477
1777,-0.00019468765811338502,-0.0001818573165877344,-9.824913896988779e-05,-2.0798747015046973e-08,9.82532671018317e-05,0.00018194847800560588,0.0001945338466399832,0.0005477443952317261,0.00032192097689199135,0.000154923112966821,1.0128493430323652e-08,-0.00015492849143207524,-0.00032193977702900525,-0.0005477401586075106
1778,-0.00019469006856834105,-0.0001818581080629079,-9.824918673820022e-05,-2.1513811165422586e-08,9.825134463144315e-05,0.00018194804771148502,0.00019453284436748836,0.0005477443056781958,0.00032192088488747363,0.00015492276556941596,1.006849616312836e-08,-0.00015492893297976807,-0.0003219396555432711,-0.0005477399034273505
1779,-0.00019469229188106863,-0.00018185882474030306,-9.824852461727197e-05,-2.156914587508627e-08,9.825010853017725e-05,0.00018194809007587468,0.00019453210564090618,0.0005477441586420742,0.0003219208157048858,0.00015492249655042599,1.0045281334195824e-08,-0.00015492920120565548,-0.00032193957077610307,-0.0005477396702367093
1780,-0.00019469438453413669,-0.00018185926378316305,-9.824768654126985e-05,-2.210920390208344e-08,9.824951472921653e-05,0.00018194790506171796,0.00019452970047657278,0.0005477440354915184,0.000321920895963162,0.00015492238818903576,1.0036110442028804e-08,-0.00015492929838730601,-0.0003219394693144736,-0.0005477396304428479
1781,-0.00019469559447095848,-0.00018185900515349006,-9.824635034674415e-05,-2.2046443632145036e-08,9.824908726365756e-05,0.0001819472512511066,0.0001945301430465145,0.0005477439970156407,0.0003219210864465037,0.0001549222901079191,1.0006502162049516e-08,-0.00015492934751110542,-0.000321939453937996,-0.0005477391386961583
1782,-0.00019469769065110824,-0.00018186123540215495,-9.824597918542954e-05,-2.1669377818149396e-08,9.82490896262112e-05,0.00018194670960760615,0.00019452941283221894,0.0005477438130990955,0.0003219206388175874,0.00015492204197781615,1.0129374000729834e-08,-0.00015492935497274347,-0.00032193937973782076,-0.0005477387489891614
1783,-0.00019470049518355805,-0.00018186400073276599,-9.824654144462429e-05,-2.0935065799434112e-08,9.824908017698188e-05,0.00018194855878365962,0.00019452851464804436,0.0005477432890271192,0.0003219200360596666,0.00015492151459700694,1.0190963116494115e-08,-0.00015492939356192154,-0.00032193879841447843,-0.0005477385510834898
1784,-0.0001947023462413786,-0.0001818641776385756,-9.824521070426748e-05,-2.1063115674655712e-08,9.824950533318898e-05,0.00018194834926712214,0.00019452692305733238,0.0005477430258234437,0.0003219201040167607,0.000154921504203433,1.0251483478045371e-08,-0.0001549292926043631,-0.00032193864862677666,-0.0005477383692017266
1785,-0.00019470271705786683,-0.00018186377129511316,-9.824346606874946e-05,-2.0448602382527956e-08,9.824917179243762e-05,0.00018194797751467653,0.0001945262729609943,0.0005477429502359171,0.0003219202897831078,0.0001549215264704223,1.0275155550239122e-08,-0.00015492934295828072,-0.0003219386515170919,-0.0005477381745100857
1786,-0.00019470341339050277,-0.00018186385640812773,-9.824185288402134e-05,-1.867891108464355e-08,9.82474932286188e-05,0.00018194729528051538,0.00019452247142696792,0.0005477426229828538,0.00032192038428485796,0.00015492161473140356,1.068170474835547e-08,-0.0001549297044627368,-0.0003219386976465246,-0.0005477384261987449
1787,-0.00019470475002640632,-0.00018186417973709072,-9.824029806264395e-05,-1.604870966886702e-08,9.824840142852327e-05,0.00018194667772593987,0.0001945193605704241,0.0005477420707707675,0.00032192034495344684,0.00015492161146650336,1.1227281627699254e-08,-0.0001549294051994872,-0.0003219387467818853,-0.0005477385978603532
1788,-0.000194704991473871,-0.00018186480009953858,-9.824078605903403e-05,-1.4322820588356446e-08,9.82486957418202e-05,0.00018194603786602056,0.00019451617457127556,0.000547741729574823,0.0003219202786611744,0.00015492119597095683,1.1726349500541834e-08,-0.0001549292479709576,-0.0003219387145953338,-0.0005477385144805364
1789,-0.00019470443256934476,-0.00018186558236292033,-9.824144887651165e-05,-1.4144605273789178e-08,9.824651354521065e-05,0.0001819454884885559,0.0001945140350710743,0.0005477414504859745,0.00032192011849145987,0.00015492069557181931,1.1628898047416954e-08,-0.0001549296831483954,-0.0003219387098783392,-0.0005477383685542959
