# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
80                  	DILUPBiCGStab	1.227932288340e-03	9.107436292700e-05	1	2.093623316460e-03	1.653206723280e-04	1	false	DICPCG	2.712250578550e-03	2.109955679600e-05	68	true
81                  	DILUPBiCGStab	1.196507496740e-03	8.865281926150e-05	1	2.039476462310e-03	1.604728839950e-04	1	false	DICPCG	2.634249194450e-03	2.124945236760e-05	68	true
82                  	DILUPBiCGStab	1.165836138280e-03	8.629140057290e-05	1	1.986730023000e-03	1.557899020100e-04	1	false	DICPCG	2.558657165770e-03	1.994713999740e-05	68	true
83                  	DILUPBiCGStab	1.135984146190e-03	8.399223959760e-05	1	1.935398921230e-03	1.512537197670e-04	1	false	DICPCG	2.484558754830e-03	1.823016017170e-05	68	true
84                  	DILUPBiCGStab	1.106911045630e-03	8.175396282810e-05	1	1.885449689610e-03	1.468581746030e-04	1	false	DICPCG	2.412773874790e-03	2.407939524380e-05	67	true
85                  	DILUPBiCGStab	1.078523731710e-03	7.958629715700e-05	1	1.836788140490e-03	1.426112749130e-04	1	false	DICPCG	2.343416380830e-03	1.749511703650e-05	68	true
86                  	DILUPBiCGStab	1.050826491620e-03	7.747761580850e-05	1	1.789377090470e-03	1.385176450730e-04	1	false	DICPCG	2.275970151990e-03	1.681591544620e-05	68	true
87                  	DILUPBiCGStab	1.023787857120e-03	7.543136925930e-05	1	1.743200770130e-03	1.345400142770e-04	1	false	DICPCG	2.210561021220e-03	1.732916120100e-05	68	true
88                  	DILUPBiCGStab	9.973934893300e-04	7.343827308790e-05	1	1.698135612330e-03	1.306679160240e-04	1	false	DICPCG	2.147397795870e-03	1.623772933720e-05	68	true
89                  	DILUPBiCGStab	9.715953580280e-04	7.149856718730e-05	1	1.654172978650e-03	1.269209333270e-04	1	false	DICPCG	2.084991038740e-03	1.705093002520e-05	68	true
90                  	DILUPBiCGStab	9.464259450450e-04	6.961083166470e-05	1	1.611218669830e-03	1.232973027890e-04	1	false	DICPCG	2.024412718660e-03	1.664444058260e-05	68	true
91                  	DILUPBiCGStab	9.219065111220e-04	6.777500941900e-05	1	1.569355702150e-03	1.197859456360e-04	1	false	DICPCG	1.966312314120e-03	1.598781642030e-05	68	true
92                  	DILUPBiCGStab	8.980141713270e-04	6.599211197090e-05	1	1.528594542620e-03	1.163825361490e-04	1	false	DICPCG	1.910016337850e-03	1.530974046200e-05	68	true
93                  	DILUPBiCGStab	8.747050518170e-04	6.425018670470e-05	1	1.489022182820e-03	1.130850080400e-04	1	false	DICPCG	1.854537478290e-03	1.712092633370e-05	67	true
94                  	DILUPBiCGStab	8.519873703320e-04	6.255526642090e-05	1	1.450462269580e-03	1.098895672990e-04	1	false	DICPCG	1.800681285140e-03	1.345543657940e-05	68	true
95                  	DILUPBiCGStab	8.298490095610e-04	6.090446540200e-05	1	1.412875473530e-03	1.068018719990e-04	1	false	DICPCG	1.748844021590e-03	1.411280304940e-05	68	true
96                  	DILUPBiCGStab	8.082612153060e-04	5.929714985720e-05	1	1.376210572530e-03	1.038051577700e-04	1	false	DICPCG	1.698767853310e-03	1.287435910880e-05	68	true
97                  	DILUPBiCGStab	7.872598554530e-04	5.773028408880e-05	1	1.340506598000e-03	1.008943907520e-04	1	false	DICPCG	1.650164448370e-03	1.238251995170e-05	68	true
98                  	DILUPBiCGStab	7.668194940100e-04	5.620745980340e-05	1	1.305719163360e-03	9.807598395300e-05	1	false	DICPCG	1.602726312990e-03	1.245941508440e-05	68	true
99                  	DILUPBiCGStab	7.469093497610e-04	5.473017719180e-05	1	1.271868090420e-03	9.534788865900e-05	1	false	DICPCG	1.556479168280e-03	1.283611622260e-05	68	true
100                 	DILUPBiCGStab	7.275579550150e-04	5.329153479600e-05	1	1.238915746230e-03	9.269923362630e-05	1	false	DICPCG	1.511427040520e-03	1.248796446870e-05	68	true
101                 	DILUPBiCGStab	7.086953474950e-04	5.189008989610e-05	1	1.206789943420e-03	9.012548828740e-05	1	false	DICPCG	1.467882569530e-03	1.152567781820e-05	68	true
102                 	DILUPBiCGStab	6.902996902420e-04	5.052346819790e-05	1	1.175549134360e-03	8.762518357320e-05	1	false	DICPCG	1.425810246120e-03	1.149223750700e-05	68	true
103                 	DILUPBiCGStab	6.723717164020e-04	4.919209232120e-05	1	1.145182254800e-03	8.519463623790e-05	1	false	DICPCG	1.385273519980e-03	1.092719089710e-05	68	true
104                 	DILUPBiCGStab	6.549142384380e-04	4.789500696610e-05	1	1.115610642350e-03	8.283597093630e-05	1	false	DICPCG	1.345992086940e-03	1.117194882240e-05	68	true
105                 	DILUPBiCGStab	6.379114262890e-04	4.663218106200e-05	1	1.086792537810e-03	8.054737826930e-05	1	false	DICPCG	1.307909177890e-03	1.072335450400e-05	68	true
106                 	DILUPBiCGStab	6.213595169150e-04	4.540281982320e-05	1	1.058716168520e-03	7.832974462720e-05	1	false	DICPCG	1.270958851430e-03	1.017877332540e-05	68	true
107                 	DILUPBiCGStab	6.052426202970e-04	4.420581641520e-05	1	1.031362676420e-03	7.617502035380e-05	1	false	DICPCG	1.235307854460e-03	1.007107687730e-05	68	true
108                 	DILUPBiCGStab	5.895412611060e-04	4.303979380800e-05	1	1.004715570140e-03	7.408140640960e-05	1	false	DICPCG	1.200735512110e-03	9.462935673350e-06	68	true
109                 	DILUPBiCGStab	5.742454613360e-04	4.190468970940e-05	1	9.787772936690e-04	7.204986602360e-05	1	false	DICPCG	1.167114085010e-03	9.128985216600e-06	68	true
110                 	DILUPBiCGStab	5.593402292370e-04	4.079974758770e-05	1	9.535275726900e-04	7.007791601660e-05	1	false	DICPCG	1.134434953210e-03	9.536718685510e-06	68	true
111                 	DILUPBiCGStab	5.448161076220e-04	3.972385612380e-05	1	9.289368834540e-04	6.816072785620e-05	1	false	DICPCG	1.102745625000e-03	9.349622338290e-06	68	true
112                 	DILUPBiCGStab	5.306697727710e-04	3.867712228170e-05	1	9.049821883600e-04	6.629870762090e-05	1	false	DICPCG	1.071938977720e-03	9.113306441640e-06	68	true
