# Region            : cellZone gateZone
# Cells             : 455
# Volume            : 5.129523050075e-04
# Time              	volAverage(Ma)	volAverage(p)	volAverage(T)
0.0056191879        	3.223372764589e+00	6.655237073709e+04	2.191128737790e+02
0.0056212821        	3.223273740530e+00	6.655587894743e+04	2.191165253020e+02
0.0056233766        	3.223169428514e+00	6.655659891371e+04	2.191175390213e+02
0.005625472         	3.223064451488e+00	6.655484108676e+04	2.191161752619e+02
0.0056275696        	3.222962315390e+00	6.655119867598e+04	2.191130762175e+02
0.0056296702        	3.222865848586e+00	6.654613130782e+04	2.191086904161e+02
0.0056317727        	3.222775645031e+00	6.654060429212e+04	2.191039096542e+02
0.0056338746        	3.222701737914e+00	6.653622557897e+04	2.191001754313e+02
0.0056359753        	3.222639972060e+00	6.653425179137e+04	2.190985418682e+02
0.0056380742        	3.222590044174e+00	6.653526862374e+04	2.190995300762e+02
0.005640171         	3.222555601616e+00	6.653952715920e+04	2.191033360580e+02
0.0056422654        	3.222540516296e+00	6.654668072085e+04	2.191098292892e+02
0.0056443573        	3.222541152082e+00	6.655562622060e+04	2.191182126420e+02
0.0056464473        	3.222556689763e+00	6.656515194379e+04	2.191273986811e+02
0.0056485361        	3.222579744389e+00	6.657405851085e+04	2.191362210137e+02
0.0056506247        	3.222611011865e+00	6.658173323043e+04	2.191440990505e+02
0.005652714         	3.222650097580e+00	6.658750154071e+04	2.191503660823e+02
0.0056548049        	3.222693393194e+00	6.659046382346e+04	2.191541032236e+02
0.0056568979        	3.222738605437e+00	6.659004960244e+04	2.191548498297e+02
0.0056589932        	3.222780276282e+00	6.658500293340e+04	2.191514168147e+02
0.0056610896        	3.222818414190e+00	6.657494556977e+04	2.191433946135e+02
0.0056631863        	3.222856232714e+00	6.656147615285e+04	2.191321404989e+02
0.0056652846        	3.222891136313e+00	6.654685559893e+04	2.191197275636e+02
0.0056673856        	3.222935487124e+00	6.653282295162e+04	2.191078470645e+02
0.0056694869        	3.222988442606e+00	6.651968184624e+04	2.190965405841e+02
0.0056715877        	3.223046219453e+00	6.650842489231e+04	2.190867808665e+02
0.0056736875        	3.223115206423e+00	6.649990356195e+04	2.190792614166e+02
0.0056757858        	3.223190067007e+00	6.649425553782e+04	2.190739462706e+02
